1,2,3,4,5,6,7,8,9,10,11,Label
186,181,188,177,177,177,177,0,0,180,0,A
185,193,187,177,177,0,177,0,0,177,0,A
0,199,184,177,0,0,177,177,0,187,181,A
178,192,179,0,180,181,0,178,0,184,181,A
185,191,181,177,178,0,0,178,0,183,180,A
187,185,178,177,0,181,177,177,0,177,179,A
187,189,181,177,0,181,177,177,0,0,179,A
182,190,179,177,178,0,177,182,0,192,180,A
184,189,177,177,179,177,177,182,0,192,180,A
0,189,177,0,0,0,0,183,0,191,181,A
183,177,180,181,179,177,0,177,0,189,181,A
180,177,180,180,185,177,181,177,0,190,181,A
183,179,179,179,0,0,181,177,0,190,181,A
181,190,0,0,185,180,182,177,0,189,178,A
186,190,178,177,0,0,0,177,0,177,178,A
185,190,180,177,0,182,177,0,0,177,177,A
188,0,178,0,0,177,0,182,0,191,178,A
183,189,177,177,178,0,0,182,0,192,180,A
182,188,177,177,178,177,0,181,0,192,181,A
183,189,177,177,0,0,0,177,0,191,180,A
179,177,178,179,184,177,180,177,0,188,182,A
185,179,181,180,0,177,181,177,0,190,182,A
184,178,181,0,0,0,181,0,0,0,180,A
185,190,0,177,0,183,0,0,0,177,178,A
185,190,182,177,0,0,177,177,0,0,177,A
185,190,181,177,0,181,0,177,0,184.5,179,A
185,188,179,177,0,0,0,182,0,191,180,A
185,188,180,177,178,0,177,182,0,191,180,A
185,188,178,178,178,0,177,183,0,192,180,A
177,177,180,180,185,0,180,177,0,189,181,A
179,182,181,0,0,177,0,177,0,189,182,A
178,179,181,181,185,0,180,177,0,187,180,A
180,189,180,181,177,0,177,177,0,177,178,A
187,189,180,177,0,181,177,0,0,177,179,A
186,189,179,177,0,0,177,0,0,177,177,A
183,0,177,178,178,181,0,181,0,183.5,181,A
184,191,181,177,179,177,177,182,0,191,181,A
187,189,178,177,0,0,0,183,0,191,179,A
177,183,0,180,179,177,181,177,0,188,181,A
184,185,183,181,185,0,180,177,0,189,178,A
180,185,181,179,184,177,180,177,0,189,180,A
186,184,180,177,0,181,177,177,0,189,181,A
187,190,182,177,0,0,0,177,0,177,0,A
187,188,180,177,0,181,177,177,0,180,178,A
183,190,180,0,0,0,177,181,0,177,179,A
183,189,177,177,178,177,0,183,0,191,181,A
0,189,177,177,178,0,0,182,0,191,181,A
183,189,178,177,185,0,181,0,0,192,180,A
181,180,180,179,0,177,181,177,0,189,181,A
181,181,180,178,184,0,180,177,0,188,180,A
181,178,178,179,184,0,182,177,0,188,181,A
187,190,181,177,0,180,177,177,0,177,178,A
185,191,180,177,0,0,177,0,0,180,178,A
187,190,179,177,0,181,0,177,0,177,178,A
184,189,182,177,178,0,177,183,0,190,181,A
184,0,181,177,0,177,0,181,0,191,180,A
184,190,181,177,180,177,0,181,0,191,181,A
181,187,179,178,185,0,180,177,0,188,181,A
181,178,178,0,0,177,181,177,0,188,182,A
182,180,178,179,185,0,179,177,0,189,182,A
0,179,181,177,0,177,177,177,0,177,182,A
186,190,181,0,0,180,177,177,0,177,178,A
187,190,181,0,0,0,177,0,0,178,178,A
186,190,179,177,0,177,177,181,0,177,178,A
184,188,0,177,180,0,0,181,0,191,180,A
184,189,181,177,0,0,177,182,0,191.5,180,A
182,177,180,178,179,0,180,177,0,188,179,A
183,177,179,178,185,0,181,177,0,187,181,A
183,0,179,179,184,0,181,177,0,187,179,A
179,184,180,177,0,0,180,0,0,188,183,A
186,191,182,177,0,182,0,177,0,177,179,A
187,187,181,0,0,182,0,0,0,177,177,A
187,192,182,0,0,0,0,182,0,177,178,A
184,189,180,179,179,177,0,0,0,190,180,A
184,188,181,177,180,0,0,181,0,191,178,A
184,0,178,177,179,0,0,182,0,190,181,A
180,179,0,178,0,177,181,177,0,189,180,A
182,181,179,179,184,0,181,0,0,189,180,A
182,179,179,179,184,177,181,177,0,189,181,A
186,190,180,177,0,0,0,177,0,177,178,A
187,190,180,178,0,181,177,0,0,177,177,A
187,190,180,177,0,181,0,0,0,177,179,A
184,189,177,177,178,0,0,182,0,191,178,A
184,190,179,177,0,177,0,181,0,191,181,A
183,189,179,177,178,0,0,181,0,191,179.5,A
0,180,179,178,184,177,0,177,0,190.5,181,A
182,180,179,0,184,177,181,177,0,188,182,A
182,179,180,179,0,0,181,177,0,188,181,A
187,190,181,178,184,180,177,177,0,177,177,A
187,190,179,177,0,0,177,0,0,177,177,A
187,190,0,177,0,181,177,0,0,177,179,A
184,189,182,177,0,177,0,181,0,177,181,A
183,190,178,177,178,0,0,182,0,191,181,A
183,190,177,177,179,177,177,181,0,191,180,A
184,0,177,177,0,0,0,177,0,189.5,180,A
182,180,179,179,184,177,181,177,0,189,181,A
180,180,178,179,184,177,180,177,0,189,181,A
181,179,179,179,0,0,181,177,0,189,178,A
187,190,181,0,0,0,0,0,0,178,177,A
186,190,181,177,0,0,177,0,0,177,0,A
186,190,180,0,0,181,0,177,0,178,179,A
184,189,179,177,0,177,0,181,0,191,180,A
184,190,177,177,179,0,0,181,0,191,181,A
184,190,178,177,179,177,0,181,0,191,181,A
180,0,180,0,0,0,0,177,0,189.5,181,A
181,180,180,178,184,177,180,177,177,189,181,A
181,180,178,179,184,177,180,177,0,189,180,A
185,190,181,177,0,0,177,177,0,178,178,A
187,190,182,177,0,181,177,0,0,177,178,A
186,190,181,177,0,0,177,0,0,179,178,A
184,190,180,177,179,181,0,181,0,191,180,A
184,190,178,177,0,177,0,181,0,191,180,A
184,190,179,177,179,0,0,183,0,191,180,A
0,180,179,178,177,177,0,177,0,191,179,A
181,0,179,0,184,0,181,177,0,189,180,A
181,181,179,179,0,177,180,177,0,188,179,A
181,181,182,178,184,181,182,0,0,177,180,A
186,190,0,177,0,0,0,177,0,0,178,A
186,190,181,177,0,181,0,0,0,177,178,A
