index,data,vote_result,vote_prob,label,prediction
0,[186. 192. 193.   0.   0.   0.   0. 179.   0. 177. 177.],B,"('B', 0.6304347826086957)",B,CORRECT
1,[187. 193. 193. 177. 178. 185. 177. 178.   0.   0. 177.],B,"('B', 0.8260869565217391)",B,CORRECT
2,[  0. 178. 182. 187. 186.   0.   0. 187.   0. 187. 192.],D,"('D', 0.782608695652174)",D,CORRECT
3,[184. 188. 177. 179. 179. 177.   0. 182.   0. 190. 180.],B,"('B', 0.5652173913043478)",A,WRONG
4,[182. 179. 179. 179. 177. 177. 180.   0.   0. 187. 181.],A,"('A', 0.7391304347826086)",A,CORRECT
5,[184. 190. 178. 177.   0.   0. 177. 181.   0. 191. 181.],A,"('A', 0.5217391304347826)",A,CORRECT
6,[177. 177. 177. 179.   0. 181. 179. 177.   0. 181. 191.],A,"('A', 0.6304347826086957)",C,WRONG
7,[  0.   0. 177. 185.   0. 183. 177.   0.   0. 182. 190.],D,"('D', 0.5)",D,CORRECT
8,[188. 192. 193. 177. 178.   0. 177. 178.   0. 177. 177.],A,"('A', 0.6521739130434783)",B,WRONG
9,[186. 194. 199. 181.   0. 179.   0. 177.   0. 180. 177.],B,"('B', 0.5434782608695652)",B,CORRECT
10,[177. 177. 177. 179. 184.   0. 179. 177.   0. 182. 191.],A,"('A', 0.5869565217391305)",C,WRONG
11,[186. 193. 193. 177. 179. 185. 177. 179.   0. 177. 177.],B,"('B', 0.5217391304347826)",B,CORRECT
12,[  0.   0.   0. 177. 184. 177. 177. 177.   0. 189. 193.],D,"('D', 0.5652173913043478)",C,WRONG
13,[177. 181. 177. 177. 185.   0.   0.   0.   0. 189. 193.],C,"('C', 0.6304347826086957)",C,CORRECT
14,[177. 182. 180. 190.   0.   0. 177.   0.   0. 189. 193.],A,"('A', 0.5)",C,WRONG
15,[177. 182. 180. 190. 191. 185.   0.   0.   0. 191. 193.],C,"('C', 0.717391304347826)",C,CORRECT
16,[185. 191. 194. 177.   0.   0.   0. 177.   0. 187. 180.],B,"('B', 0.717391304347826)",B,CORRECT
17,[180. 190. 181. 179.   0.   0. 180. 177.   0. 188. 177.],A,"('A', 0.5217391304347826)",A,CORRECT
18,[186. 194. 198. 179. 177.   0.   0. 177.   0. 181. 177.],B,"('B', 1.0)",B,CORRECT
19,[  0. 178. 182. 188. 189.   0.   0. 177.   0. 189. 196.],D,"('D', 0.6956521739130435)",D,CORRECT
20,[177.   0. 181. 187.   0.   0.   0. 187.   0. 186. 198.],A,"('A', 0.41304347826086957)",D,WRONG
21,[  0.  177.  185.  182.  189.  184.    0.  177.    0.  188.5 196. ],D,"('D', 0.9130434782608695)",D,CORRECT
22,[  0. 182. 178. 190. 191. 185.   0. 177.   0. 191. 193.],D,"('D', 0.782608695652174)",C,WRONG
23,[177.   0.   0. 189. 190. 185.   0.   0.   0. 191. 193.],C,"('C', 0.8478260869565217)",C,CORRECT
24,[187. 194. 192. 177. 180.   0. 177. 177.   0.   0.   0.],B,"('B', 0.6739130434782609)",B,CORRECT
25,[185. 190. 181. 177.   0.   0. 177. 177.   0. 191. 181.],A,"('A', 0.5217391304347826)",A,CORRECT
26,[177. 177. 177. 178. 185. 180. 179. 177.   0. 181. 192.],C,"('C', 0.6304347826086957)",C,CORRECT
27,[184. 191. 194. 177.   0. 179.   0. 177.   0. 187. 179.],B,"('B', 0.5434782608695652)",B,CORRECT
28,[177.   0. 179. 177. 184. 177. 177.   0.   0. 189. 192.],C,"('C', 0.8260869565217391)",C,CORRECT
29,[187. 193. 193.   0. 178. 185. 177. 179.   0. 177. 177.],B,"('B', 0.8043478260869565)",B,CORRECT
30,[187. 193. 198. 182. 177. 177.   0.   0.   0. 181. 177.],C,"('C', 0.5217391304347826)",B,WRONG
31,[  0. 177. 177.   0. 185.   0. 177.   0.   0. 182. 190.],D,"('D', 0.6521739130434783)",D,CORRECT
32,[  0.  177.    0.  183.    0.  186.  178.5 177.    0.  182.  191. ],D,"('D', 0.45652173913043476)",D,CORRECT
