index,data,label,vote_result,prediction,,
0,[186. 192. 193.   0.   0.   0.   0. 179.   0. 177. 177.],['B'],B,CORRECT,,
1,[187. 193. 193. 177. 178. 185. 177. 178.   0.   0. 177.],['B'],B,CORRECT,,
2,[  0. 178. 182. 187. 186.   0.   0. 187.   0. 187. 192.],['D'],D,CORRECT,,
3,[184. 188. 177. 179. 179. 177.   0. 182.   0. 190. 180.],['A'],A,CORRECT,,
4,[182. 179. 179. 179. 177. 177. 180.   0.   0. 187. 181.],['A'],A,CORRECT,,
5,[184. 190. 178. 177.   0.   0. 177. 181.   0. 191. 181.],['A'],A,CORRECT,,522
6,[177. 177. 177. 179.   0. 181. 179. 177.   0. 181. 191.],['C'],C,CORRECT,,92
7,[  0.   0. 177. 185.   0. 183. 177.   0.   0. 182. 190.],['D'],D,CORRECT,,0.850162866
8,[188. 192. 193. 177. 178.   0. 177. 178.   0. 177. 177.],['B'],B,CORRECT,,
9,[186. 194. 199. 181.   0. 179.   0. 177.   0. 180. 177.],['B'],B,CORRECT,,
10,[177. 177. 177. 179. 184.   0. 179. 177.   0. 182. 191.],['C'],C,CORRECT,,
11,[186. 193. 193. 177. 179. 185. 177. 179.   0. 177. 177.],['B'],B,CORRECT,,
12,[  0.   0.   0. 177. 184. 177. 177. 177.   0. 189. 193.],['C'],D,WRONG,,
13,[177. 181. 177. 177. 185.   0.   0.   0.   0. 189. 193.],['C'],C,CORRECT,,
14,[177. 182. 180. 190.   0.   0. 177.   0.   0. 189. 193.],['C'],A,WRONG,,
15,[177. 182. 180. 190. 191. 185.   0.   0.   0. 191. 193.],['C'],C,CORRECT,,
16,[185. 191. 194. 177.   0.   0.   0. 177.   0. 187. 180.],['B'],B,CORRECT,,
17,[180. 190. 181. 179.   0.   0. 180. 177.   0. 188. 177.],['A'],A,CORRECT,,
18,[186. 194. 198. 179. 177.   0.   0. 177.   0. 181. 177.],['B'],B,CORRECT,,
19,[  0. 178. 182. 188. 189.   0.   0. 177.   0. 189. 196.],['D'],D,CORRECT,,
20,[177.   0. 181. 187.   0.   0.   0. 187.   0. 186. 198.],['D'],A,WRONG,,
21,[  0.  177.  185.  182.  189.  184.    0.  177.    0.  188.5 196. ],['D'],D,CORRECT,,
22,[  0. 182. 178. 190. 191. 185.   0. 177.   0. 191. 193.],['C'],D,WRONG,,
23,[177.   0.   0. 189. 190. 185.   0.   0.   0. 191. 193.],['C'],C,CORRECT,,
24,[187. 194. 192. 177. 180.   0. 177. 177.   0.   0.   0.],['B'],B,CORRECT,,
25,[185. 190. 181. 177.   0.   0. 177. 177.   0. 191. 181.],['A'],A,CORRECT,,
26,[177. 177. 177. 178. 185. 180. 179. 177.   0. 181. 192.],['C'],C,CORRECT,,
27,[184. 191. 194. 177.   0. 179.   0. 177.   0. 187. 179.],['B'],B,CORRECT,,
28,[177.   0. 179. 177. 184. 177. 177.   0.   0. 189. 192.],['C'],C,CORRECT,,
29,[187. 193. 193.   0. 178. 185. 177. 179.   0. 177. 177.],['B'],B,CORRECT,,
30,[187. 193. 198. 182. 177. 177.   0.   0.   0. 181. 177.],['B'],B,CORRECT,,
31,[  0. 177. 177.   0. 185.   0. 177.   0.   0. 182. 190.],['D'],C,WRONG,,
32,[  0.  177.    0.  183.    0.  186.  178.5 177.    0.  182.  191. ],['D'],D,CORRECT,,
33,[185. 191. 194. 177. 177.   0.   0. 177.   0. 187. 180.],['B'],B,CORRECT,,
34,[177.   0. 177.   0. 185. 181.   0. 177.   0. 185. 191.],['C'],B,WRONG,,
35,[  0. 177. 185. 181. 189. 184.   0.   0.   0. 189. 196.],['D'],D,CORRECT,,
36,[185. 191. 193. 177. 177.   0.   0.   0.   0. 187. 181.],['B'],B,CORRECT,,
37,[187. 190. 179. 177.   0. 181.   0. 177.   0. 177. 178.],['A'],A,CORRECT,,
38,[177. 177. 177. 179. 185. 180. 179.   0.   0. 181. 191.],['C'],C,CORRECT,,
39,[177. 182. 178. 190. 192. 186.   0.   0.   0. 190. 193.],['C'],C,CORRECT,,
40,[  0. 177. 185. 182.   0. 184.   0. 177.   0. 188. 196.],['D'],D,CORRECT,,
41,[187. 194. 198. 180. 177. 179.   0. 177.   0.   0. 177.],['B'],B,CORRECT,,
42,[177. 177. 177. 180. 185. 180. 179.   0.   0. 182. 191.],['C'],C,CORRECT,,
