Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,Location
16/3/20, 16:09:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8D72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038D72B1,"7,1"
16/3/20, 16:09:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7775,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100097775B3,"7,1"
16/3/20, 16:09:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C73,32.1,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C73B1,"7,1"
16/3/20, 16:09:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100028673B1,"7,1"
16/3/20, 16:09:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7473,32.1,50, 0201041AFF4C0002150005000100001000800000805F9B013100077473B5,"7,1"
16/3/20, 16:09:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8D70,30,62, 0201041AFF4C0002150005000100001000800000805F9B013100058D70C1,"7,1"
16/3/20, 16:09:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x986C,27.3,68, 0201041AFF4C0002150005000100001000800000805F9B01310004986CC1,"7,1"
16/3/20, 16:09:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7A73,32.1,53, 0201041AFF4C0002150005000100001000800000805F9B013100087A73B1,"7,1"
16/3/20, 16:09:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x846E,28.7,58, 0201041AFF4C0002150005000100001000800000805F9B0131000C846EB6,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7774,32.8,52, 0201041AFF4C0002150005000100001000800000805F9B0131000B7774B9,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x936E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006936EB1,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7775,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100097775B5,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8C73,32.1,62, 0201041AFF4C0002150005000100001000800000805F9B013100018C73B1,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7473,32.1,50, 0201041AFF4C0002150005000100001000800000805F9B013100077473B6,"7,1"
16/3/20, 16:09:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8673,32.1,59, 0201041AFF4C0002150005000100001000800000805F9B013100028673B1,"7,1"
