index,data,vote_result,vote_prob,label,prediction
0,[183. 185.   0. 183. 187.   0.],4,"(4, 0.3902439024390244)",4,CORRECT
1,[185. 185. 191.   0.   0.   0.],1,"(1, 0.2926829268292683)",4,WRONG
2,[188. 187.   0. 187. 188. 178.],4,"(4, 0.3902439024390244)",4,CORRECT
3,[193. 187.   0.   0. 187.   0.],2,"(2, 0.4146341463414634)",1,WRONG
4,[182. 188. 188.   0. 190. 189.],1,"(1, 0.5853658536585366)",3,WRONG
5,[184.   0. 187. 189. 189.   0.],2,"(2, 0.43902439024390244)",3,WRONG
6,[191. 188. 196.   0.   0. 194.],1,"(1, 0.2926829268292683)",1,CORRECT
7,[188. 185.   0. 185. 189.   0.],1,"(1, 0.2926829268292683)",4,WRONG
8,[194. 191. 194.   0. 185.   0.],1,"(1, 0.4878048780487805)",1,CORRECT
9,[191. 189.   0.   0. 193.   0.],2,"(2, 0.5609756097560976)",2,CORRECT
10,[  0.   0.   0. 187.   0. 190.],5,"(5, 0.6829268292682927)",1,WRONG
11,[193. 187. 192.   0. 185.   0.],1,"(1, 0.4878048780487805)",1,CORRECT
12,[181. 185. 182. 182. 193. 177.],2,"(2, 0.5609756097560976)",2,CORRECT
13,[  0. 186. 192. 187.   0.   0.],5,"(5, 0.36585365853658536)",4,WRONG
14,[193.   0.   0.   0. 189. 193.],1,"(1, 0.4634146341463415)",1,CORRECT
15,[184. 181. 187.   0.   0.   0.],1,"(1, 0.2926829268292683)",5,WRONG
16,[178. 185. 194. 190.   0. 184.],2,"(2, 0.2682926829268293)",2,CORRECT
17,[181.   0.   0. 181.   0. 187.],5,"(5, 0.3170731707317073)",5,CORRECT
18,[183.   0.   0. 185. 181.   0.],1,"(1, 0.34146341463414637)",5,WRONG
19,[180.   0.   0.   0. 190. 184.],1,"(1, 0.43902439024390244)",2,WRONG
20,[185.   0. 189. 190. 178. 190.],1,"(1, 0.5121951219512195)",3,WRONG
21,[191. 187. 196.   0. 182. 191.],1,"(1, 0.8780487804878049)",1,CORRECT
22,[191. 188.   0. 185.   0. 193.],4,"(4, 0.4634146341463415)",1,WRONG
23,[184. 184. 185.   0.   0. 184.],1,"(1, 0.2926829268292683)",4,WRONG
