index,data,label,vote_result,prediction
0,[183. 185.   0. 183. 187.   0.],[4],4,CORRECT
1,[185. 185. 191.   0.   0.   0.],[4],1,WRONG
2,[188. 187.   0. 187. 188. 178.],[4],4,CORRECT
3,[193. 187.   0.   0. 187.   0.],[1],1,CORRECT
4,[182. 188. 188.   0. 190. 189.],[3],5,WRONG
5,[184.   0. 187. 189. 189.   0.],[3],3,CORRECT
6,[191. 188. 196.   0.   0. 194.],[1],1,CORRECT
7,[188. 185.   0. 185. 189.   0.],[4],4,CORRECT
8,[194. 191. 194.   0. 185.   0.],[1],1,CORRECT
9,[191. 189.   0.   0. 193.   0.],[2],2,CORRECT
10,[  0.   0.   0. 187.   0. 190.],[1],5,WRONG
11,[193. 187. 192.   0. 185.   0.],[1],1,CORRECT
12,[181. 185. 182. 182. 193. 177.],[2],2,CORRECT
13,[  0. 186. 192. 187.   0.   0.],[4],5,WRONG
14,[193.   0.   0.   0. 189. 193.],[1],1,CORRECT
15,[184. 181. 187.   0.   0.   0.],[5],5,CORRECT
16,[178. 185. 194. 190.   0. 184.],[2],2,CORRECT
17,[181.   0.   0. 181.   0. 187.],[5],5,CORRECT
18,[183.   0.   0. 185. 181.   0.],[5],5,CORRECT
19,[180.   0.   0.   0. 190. 184.],[2],2,CORRECT
20,[185.   0. 189. 190. 178. 190.],[3],1,WRONG
21,[191. 187. 196.   0. 182. 191.],[1],1,CORRECT
22,[191. 188.   0. 185.   0. 193.],[1],1,CORRECT
23,[184. 184. 185.   0.   0. 184.],[4],4,CORRECT
24,[181. 184. 192. 191. 190.   0.],[2],2,CORRECT
25,[189. 189.   0.   0.   0. 177.],[2],2,CORRECT
26,[184. 177.   0. 187. 177. 193.],[5],5,CORRECT
27,[183.   0.   0. 185. 185.   0.],[5],5,CORRECT
28,[179.   0.   0.   0. 191.   0.],[2],2,CORRECT
29,[179. 192.   0.   0. 192. 177.],[2],2,CORRECT
30,[186.   0. 192. 187. 188.   0.],[4],4,CORRECT
31,[192. 184. 193. 190. 187. 192.],[1],1,CORRECT
32,[179. 193. 191. 192.   0.   0.],[2],2,CORRECT
33,[183. 184.   0.   0. 189. 185.],[2],2,CORRECT
34,[181.   0. 179.   0. 183.   0.],[4],4,CORRECT
35,[177. 190. 191. 189. 187. 180.],[2],2,CORRECT
36,[185. 191.   0.   0. 188. 190.],[3],3,CORRECT
37,[193. 182. 192.   0. 180. 189.],[1],1,CORRECT
38,[187.   0.   0. 185. 185.   0.],[4],5,WRONG
39,[179. 193. 192. 193. 187. 177.],[2],2,CORRECT
40,[177.   0. 189.   0.   0.   0.],[3],3,CORRECT
41,[183. 186.   0. 183. 177. 184.],[4],4,CORRECT
42,[184. 184. 187.   0. 179.   0.],[5],5,CORRECT
43,[183.   0. 185. 185.   0.   0.],[4],4,CORRECT
44,[191. 188.   0.   0. 192. 179.],[2],2,CORRECT
45,[190.   0.   0. 187. 192. 181.],[2],1,WRONG
46,[192. 185. 193. 190.   0.   0.],[1],1,CORRECT
47,[  0.   0. 187.   0. 189.   0.],[3],2,WRONG
48,[184.   0. 188.   0. 189.   0.],[3],3,CORRECT
49,[  0.   0.   0. 187. 178. 192.],[5],5,CORRECT
50,[185.   0. 181.   0.   0.   0.],[4],4,CORRECT
51,[  0.   0. 183. 184. 177. 177.],[3],3,CORRECT
52,[187. 190.   0. 190.   0.   0.],[3],3,CORRECT
53,[182.   0.   0. 185.   0.   0.],[5],5,CORRECT
54,[184.   0.   0.   0. 183. 187.],[4],1,WRONG
55,[179.   0. 191.   0. 188.   0.],[2],2,CORRECT
56,[192. 189.   0.   0. 193.   0.],[2],2,CORRECT
57,[180. 178. 180.   0.   0.   0.],[3],5,WRONG
58,[  0. 177. 180.   0.   0. 190.],[5],5,CORRECT
59,[182. 191. 194. 189. 188.   0.],[2],2,CORRECT
60,[192. 189. 195. 184.   0. 191.],[1],1,CORRECT
61,[  0. 177. 180. 191. 177. 189.],[5],5,CORRECT
62,[193.   0. 192. 179. 185.   0.],[1],1,CORRECT
63,[193. 184. 196.   0. 184.   0.],[1],1,CORRECT
64,[187. 185.   0.   0. 187. 180.],[4],4,CORRECT
65,[177. 177. 178. 191.   0. 190.],[5],5,CORRECT
66,[185. 193.   0. 188. 190.   0.],[3],3,CORRECT
67,[182. 184.   0. 191.   0. 183.],[2],4,WRONG
68,[181. 185.   0. 192. 189.   0.],[2],3,WRONG
69,[179. 188.   0. 188.   0.   0.],[3],3,CORRECT
70,[193.   0.   0. 185. 181.   0.],[1],1,CORRECT
71,[184.   0.   0.   0. 184. 190.],[5],1,WRONG
72,[188. 182.   0.   0. 188.   0.],[4],4,CORRECT
73,[193.   0. 196. 186. 189. 193.],[1],1,CORRECT
74,[190. 188.   0. 191.   0.   0.],[1],1,CORRECT
75,[  0.   0. 180. 179.   0.   0.],[4],2,WRONG
76,[184. 177. 183.   0. 177. 177.],[3],3,CORRECT
77,[177.   0. 193. 192.   0.   0.],[2],2,CORRECT
78,[177. 177. 177. 192. 177.   0.],[5],3,WRONG
79,[190.   0. 180.   0. 189. 178.],[2],4,WRONG
80,[192. 186. 195.   0.   0.   0.],[1],1,CORRECT
81,[181.   0. 182.   0. 181. 177.],[3],3,CORRECT
82,[192. 185.   0.   0.   0.   0.],[1],4,WRONG
83,[184.   0.   0.   0. 177. 192.],[5],5,CORRECT
84,[183.   0. 188. 190. 187. 190.],[3],3,CORRECT
85,[182. 185. 188.   0.   0. 189.],[5],5,CORRECT
86,[194.   0. 195. 186. 177. 191.],[1],1,CORRECT
87,[194.   0.   0.   0. 179. 193.],[1],1,CORRECT
88,[182. 184. 188. 188.   0.   0.],[5],5,CORRECT
89,[185. 186.   0.   0.   0. 178.],[4],4,CORRECT
90,[192. 185. 196. 188. 186.   0.],[1],1,CORRECT
91,[192. 188. 192.   0.   0.   0.],[1],1,CORRECT
92,[191. 191.   0. 178. 188. 194.],[1],1,CORRECT
93,[191. 185. 191. 188. 185. 192.],[1],1,CORRECT
94,[187. 193. 189. 188.   0.   0.],[3],2,WRONG
95,[193. 188. 195. 187. 181.   0.],[1],1,CORRECT
96,[177. 190. 191. 188. 190. 184.],[2],2,CORRECT
97,[  0. 184.   0. 182. 184. 185.],[4],4,CORRECT
98,[185.   0. 187. 185.   0. 183.],[4],4,CORRECT
99,[192.   0.   0. 187. 183. 191.],[1],1,CORRECT
100,[182.   0. 194. 193. 189.   0.],[2],2,CORRECT
101,[192.   0. 189. 187. 181. 188.],[1],1,CORRECT
102,[181.   0.   0. 182. 184. 190.],[5],5,CORRECT
103,[193. 190. 194.   0. 183. 192.],[1],1,CORRECT
104,[184. 183.   0. 182. 178.   0.],[4],4,CORRECT
105,[193.   0. 190.   0.   0. 193.],[1],1,CORRECT
106,[  0.   0.   0. 182.   0. 190.],[1],5,WRONG
