index,data,vote_result,vote_prob,label,prediction
0,[185. 190. 194. 177. 177. 178.   0. 177.   0. 188. 179.],B,"('B', 1.0)",B,CORRECT
1,[187. 192. 193. 177. 179. 185. 177. 178.   0.   0.   0.],B,"('B', 1.0)",B,CORRECT
2,[  0. 181. 179. 177. 185.   0. 181. 177.   0. 187. 181.],C,"('C', 1.0)",A,WRONG
3,[177.  177.  177.  180.  185.  183.  179.  177.    0.  186.5 191. ],C,"('C', 1.0)",C,CORRECT
4,[177.   0. 179. 189. 191.   0. 177. 177.   0. 188. 193.],C,"('C', 1.0)",C,CORRECT
5,[182. 178. 178. 178. 184.   0. 180. 177.   0. 189. 179.],A,"('A', 1.0)",A,CORRECT
6,[  0.   0. 179. 177. 185. 177. 177. 177.   0. 188. 193.],C,"('C', 1.0)",C,CORRECT
7,[179.   0. 193.   0. 177.   0. 177.   0.   0.   0. 177.],C,"('C', 1.0)",B,WRONG
8,[177.    0.  182.  188.  185.    0.    0.  187.    0.  186.5 197. ],D,"('D', 1.0)",D,CORRECT
9,[177. 177. 177. 179. 185. 181. 179. 177.   0. 182. 192.],C,"('C', 1.0)",C,CORRECT
10,[185. 193. 187. 177. 177.   0. 177.   0.   0. 177.   0.],A,"('A', 1.0)",A,CORRECT
11,[184. 189. 180. 177. 179.   0.   0. 181.   0. 191. 180.],A,"('A', 1.0)",A,CORRECT
12,[185. 191. 193. 177. 177. 177.   0. 177.   0. 188. 179.],B,"('B', 1.0)",B,CORRECT
13,[177. 179. 182. 187.   0. 185. 177. 187.   0. 185. 198.],D,"('D', 1.0)",D,CORRECT
14,[177.  182.  178.  190.  191.  185.    0.    0.    0.  185.5 193. ],C,"('C', 1.0)",C,CORRECT
15,[  0. 177. 177. 185. 185.   0. 177.   0.   0. 181. 193.],D,"('D', 1.0)",D,CORRECT
16,[177.   0. 180. 177.   0. 177. 177. 177.   0. 189. 193.],C,"('C', 1.0)",C,CORRECT
17,[177.   0. 179.   0. 185. 182. 177. 177.   0.   0. 193.],C,"('C', 1.0)",C,CORRECT
18,[177. 182. 177.   0. 191. 185.   0.   0.   0. 190. 193.],C,"('C', 1.0)",C,CORRECT
19,[186. 194. 198. 180. 177. 179.   0. 177.   0. 180. 177.],B,"('B', 1.0)",B,CORRECT
20,[181.   0. 179. 179. 183.   0. 181. 177.   0. 187. 181.],A,"('A', 1.0)",A,CORRECT
21,[187. 194. 198. 180. 177. 177.   0. 177.   0. 182. 177.],B,"('B', 1.0)",B,CORRECT
22,[185.   0. 193. 177. 177.   0.   0. 178.   0. 182. 177.],B,"('B', 1.0)",B,CORRECT
23,[  0. 179. 181. 191. 185. 186. 177. 187.   0. 186. 197.],D,"('D', 1.0)",D,CORRECT
24,[  0. 182.   0.   0.   0. 185.   0.   0.   0. 190. 193.],B,"('B', 1.0)",C,WRONG
25,[187. 193. 193. 177. 177. 185. 177. 177.   0. 177. 177.],B,"('B', 1.0)",B,CORRECT
26,[184. 188. 178. 177. 179.   0.   0. 181.   0. 191. 181.],A,"('A', 1.0)",A,CORRECT
27,[  0. 177. 185. 181.   0.   0.   0. 177.   0. 189. 196.],D,"('D', 1.0)",D,CORRECT
28,[187. 190. 193. 177.   0. 185. 177. 179.   0. 177. 177.],B,"('B', 1.0)",B,CORRECT
29,[186. 190. 181.   0.   0. 181. 177.   0.   0. 177. 177.],A,"('A', 1.0)",A,CORRECT
30,[  0. 177. 183. 182.   0. 184. 177. 187.   0. 188. 196.],D,"('D', 1.0)",D,CORRECT
31,[  0. 180. 181. 187.   0. 185.   0. 187.   0. 186. 198.],D,"('D', 1.0)",D,CORRECT
32,[187. 190. 180.   0.   0. 180. 177.   0.   0. 177. 177.],A,"('A', 1.0)",A,CORRECT
33,[187.   0. 193.   0. 178. 185. 177. 179.   0. 177. 177.],C,"('C', 1.0)",B,WRONG
34,[  0. 177. 185. 181. 189. 184.   0. 177.   0. 188. 195.],D,"('D', 1.0)",D,CORRECT
35,[  0. 177. 185. 182.   0. 184.   0. 177.   0. 188. 196.],D,"('D', 1.0)",D,CORRECT
36,[177.  182.  177.  190.  191.    0.    0.    0.    0.  190.5 193. ],C,"('C', 1.0)",C,CORRECT
37,[177. 177. 177. 179. 184.   0. 179. 177.   0. 182. 191.],C,"('C', 1.0)",C,CORRECT
38,[182. 179. 179. 178. 184.   0. 181. 177.   0. 189. 180.],A,"('A', 1.0)",A,CORRECT
39,[186. 194. 193. 177.   0. 185. 177. 178.   0. 177. 177.],B,"('B', 1.0)",B,CORRECT
40,[186. 194. 193. 177. 179. 185. 177. 179.   0. 177. 177.],B,"('B', 1.0)",B,CORRECT
41,[184. 179. 179. 177. 184. 177.   0. 182.   0. 188. 181.],A,"('A', 1.0)",A,CORRECT
42,[  0.   0.   0. 177. 185.   0.   0. 177.   0. 188. 193.],C,"('C', 1.0)",C,CORRECT
43,[  0. 177. 177. 183.   0.   0. 177.   0.   0. 182. 192.],D,"('D', 1.0)",D,CORRECT
44,[177. 177. 177. 180.   0. 181. 179. 177.   0. 182. 191.],C,"('C', 1.0)",C,CORRECT
45,[182. 190. 179. 177.   0. 181. 177. 177.   0. 178. 179.],A,"('A', 1.0)",A,CORRECT
