DatetimeSec,Label,1,2,3,4,5,6,7,8,9,10,11
0.0,A,186.0,181.0,188.0,177.0,177.0,177.0,177.0,0.0,0.0,180.0,0.0
1.0,A,185.0,193.0,187.0,177.0,177.0,0.0,177.0,0.0,0.0,177.0,0.0
2.0,A,0.0,199.0,184.0,177.0,0.0,0.0,177.0,177.0,0.0,187.0,181.0
3.0,A,178.0,192.0,179.0,0.0,180.0,181.0,0.0,178.0,0.0,184.0,181.0
4.0,A,185.0,191.0,181.0,177.0,178.0,0.0,0.0,178.0,0.0,183.0,180.0
5.0,A,187.0,185.0,178.0,177.0,0.0,181.0,177.0,177.0,0.0,177.0,179.0
6.0,A,187.0,189.0,181.0,177.0,0.0,181.0,177.0,177.0,0.0,0.0,179.0
7.0,A,182.0,190.0,179.0,177.0,178.0,0.0,177.0,182.0,0.0,192.0,180.0
8.0,A,184.0,189.0,177.0,177.0,179.0,177.0,177.0,182.0,0.0,192.0,180.0
9.0,A,0.0,189.0,177.0,0.0,0.0,0.0,0.0,183.0,0.0,191.0,181.0
10.0,A,183.0,177.0,180.0,181.0,179.0,177.0,0.0,177.0,0.0,189.0,181.0
11.0,A,180.0,177.0,180.0,180.0,185.0,177.0,181.0,177.0,0.0,190.0,181.0
12.0,A,183.0,179.0,179.0,179.0,0.0,0.0,181.0,177.0,0.0,190.0,181.0
13.0,A,181.0,190.0,0.0,0.0,185.0,180.0,182.0,177.0,0.0,189.0,178.0
14.0,A,186.0,190.0,178.0,177.0,0.0,0.0,0.0,177.0,0.0,177.0,178.0
15.0,A,185.0,190.0,180.0,177.0,0.0,182.0,177.0,0.0,0.0,177.0,177.0
16.0,A,188.0,0.0,178.0,0.0,0.0,177.0,0.0,182.0,0.0,191.0,178.0
17.0,A,183.0,189.0,177.0,177.0,178.0,0.0,0.0,182.0,0.0,192.0,180.0
18.0,A,182.0,188.0,177.0,177.0,178.0,177.0,0.0,181.0,0.0,192.0,181.0
19.0,A,183.0,189.0,177.0,177.0,0.0,0.0,0.0,177.0,0.0,191.0,180.0
20.0,A,179.0,177.0,178.0,179.0,184.0,177.0,180.0,177.0,0.0,188.0,182.0
21.0,A,185.0,179.0,181.0,180.0,0.0,177.0,181.0,177.0,0.0,190.0,182.0
22.0,A,184.0,178.0,181.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,180.0
23.0,A,185.0,190.0,0.0,177.0,0.0,183.0,0.0,0.0,0.0,177.0,178.0
24.0,A,185.0,190.0,182.0,177.0,0.0,0.0,177.0,177.0,0.0,0.0,177.0
25.0,A,185.0,190.0,181.0,177.0,0.0,181.0,0.0,177.0,0.0,184.5,179.0
26.0,A,185.0,188.0,179.0,177.0,0.0,0.0,0.0,182.0,0.0,191.0,180.0
27.0,A,185.0,188.0,180.0,177.0,178.0,0.0,177.0,182.0,0.0,191.0,180.0
28.0,A,185.0,188.0,178.0,178.0,178.0,0.0,177.0,183.0,0.0,192.0,180.0
29.0,A,177.0,177.0,180.0,180.0,185.0,0.0,180.0,177.0,0.0,189.0,181.0
30.0,A,179.0,182.0,181.0,0.0,0.0,177.0,0.0,177.0,0.0,189.0,182.0
31.0,A,178.0,179.0,181.0,181.0,185.0,0.0,180.0,177.0,0.0,187.0,180.0
32.0,A,180.0,189.0,180.0,181.0,177.0,0.0,177.0,177.0,0.0,177.0,178.0
33.0,A,187.0,189.0,180.0,177.0,0.0,181.0,177.0,0.0,0.0,177.0,179.0
34.0,A,186.0,189.0,179.0,177.0,0.0,0.0,177.0,0.0,0.0,177.0,177.0
35.0,A,183.0,0.0,177.0,178.0,178.0,181.0,0.0,181.0,0.0,183.5,181.0
36.0,A,184.0,191.0,181.0,177.0,179.0,177.0,177.0,182.0,0.0,191.0,181.0
37.0,A,187.0,189.0,178.0,177.0,0.0,0.0,0.0,183.0,0.0,191.0,179.0
38.0,A,177.0,183.0,0.0,180.0,179.0,177.0,181.0,177.0,0.0,188.0,181.0
39.0,A,184.0,185.0,183.0,181.0,185.0,0.0,180.0,177.0,0.0,189.0,178.0
40.0,A,180.0,185.0,181.0,179.0,184.0,177.0,180.0,177.0,0.0,189.0,180.0
41.0,A,186.0,184.0,180.0,177.0,0.0,181.0,177.0,177.0,0.0,189.0,181.0
42.0,A,187.0,190.0,182.0,177.0,0.0,0.0,0.0,177.0,0.0,177.0,0.0
43.0,A,187.0,188.0,180.0,177.0,0.0,181.0,177.0,177.0,0.0,180.0,178.0
44.0,A,183.0,190.0,180.0,0.0,0.0,0.0,177.0,181.0,0.0,177.0,179.0
45.0,A,183.0,189.0,177.0,177.0,178.0,177.0,0.0,183.0,0.0,191.0,181.0
46.0,A,0.0,189.0,177.0,177.0,178.0,0.0,0.0,182.0,0.0,191.0,181.0
47.0,A,183.0,189.0,178.0,177.0,185.0,0.0,181.0,0.0,0.0,192.0,180.0
48.0,A,181.0,180.0,180.0,179.0,0.0,177.0,181.0,177.0,0.0,189.0,181.0
49.0,A,181.0,181.0,180.0,178.0,184.0,0.0,180.0,177.0,0.0,188.0,180.0
50.0,A,181.0,178.0,178.0,179.0,184.0,0.0,182.0,177.0,0.0,188.0,181.0
51.0,A,187.0,190.0,181.0,177.0,0.0,180.0,177.0,177.0,0.0,177.0,178.0
