index,data,label,vote_result,prediction
0,[185. 188. 188. 180. 180.   0. 181.   0. 177. 177. 179. 182.],"['1,13']","1,13",CORRECT
1,[177. 188. 187. 177. 192. 194. 177. 177. 188.   0. 181. 177.],"['7,13']","7,13",CORRECT
2,[  0. 177. 177. 179.   0. 184. 180. 191. 188. 185. 196. 193.],"['19,7']","19,7",CORRECT
3,[  0.   0.   0. 177.   0. 192. 177. 181. 196. 179. 181. 183.],"['13,13']","19,1",WRONG
4,[  0.   0. 180.   0.   0. 180. 178. 179. 180. 183. 187. 197.],"['19,13']","19,13",CORRECT
5,[177. 195. 193. 177.   0. 189.   0.   0.   0.   0. 186. 187.],"['1,7']","1,13",WRONG
6,[185. 183.   0. 195. 189. 183. 184. 182. 177.   0. 183. 177.],"['7,1']","7,1",CORRECT
7,[  0.   0. 178. 191. 177. 178. 192. 177. 177. 178. 185.   0.],"['13,1']","13,1",CORRECT
8,[192. 185. 181. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"['1,1']","1,1",CORRECT
9,[  0.   0.   0. 177.   0. 177. 184. 191. 183. 181. 195. 193.],"['19,7']","19,1",WRONG
10,[185. 193.   0. 177. 182. 188. 178. 182. 182.   0. 177. 185.],"['1,7']","1,7",CORRECT
11,[  0. 178.   0. 177.   0. 185. 177. 177. 192. 177. 187. 191.],"['13,13']","13,13",CORRECT
12,[177. 187. 190. 181. 181. 182.   0.   0. 177.   0. 181.   0.],"['1,13']","1,13",CORRECT
13,[177. 177. 177. 180.   0. 178. 182.   0. 184. 183. 195. 194.],"['19,7']","7,7",WRONG
14,[177. 177. 181. 193.   0. 177. 182. 177.   0.   0. 184. 180.],"['7,1']","7,7",WRONG
15,[  0.   0. 179.   0. 177. 179. 192. 177. 177. 179. 185. 177.],"['13,1']","19,13",WRONG
16,[  0.   0.   0. 177. 177.   0. 177. 188.   0.   0. 194. 194.],"['19,7']","19,1",WRONG
17,[  0. 177. 177. 177.   0. 181. 188. 191. 188.   0. 189. 183.],"['13,7']","13,7",CORRECT
18,[  0. 177.   0. 180. 180. 189. 177.   0. 193. 178. 186. 191.],"['13,13']","13,13",CORRECT
19,[  0. 177. 180. 192. 187. 184. 182. 177. 177. 177. 177. 177.],"['7,1']","7,1",CORRECT
20,[183. 192. 189. 193. 192. 188. 178. 177. 181. 177. 183. 183.],"['7,7']","7,7",CORRECT
21,[177. 185. 190.   0. 177.   0.   0.   0. 177.   0. 177. 183.],"['1,13']","1,13",CORRECT
