index,data,label,vote_result,prediction
0,[182. 187. 194. 183.   0. 187. 177. 179.   0.   0. 177. 179.],"['10,4']","('1,13', [('1,13', 1.0)])",WRONG
1,[177. 186. 194.   0. 185. 184.   0. 178. 178.   0. 177. 189.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
2,[180. 182. 193. 178. 181. 177.   0. 180. 177.   0. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
3,[179. 185. 191.   0. 185. 189. 177. 177. 179. 177. 178. 187.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
4,[177. 178. 191. 177.   0. 188. 177. 177. 182.   0. 178. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
5,[177. 180. 191. 177. 185. 188. 177. 177. 181.   0. 178. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
6,[177. 181. 193. 177. 181. 188. 177. 177. 182. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
7,[183. 185. 193. 181.   0. 193. 178. 177. 189. 177. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
8,[184. 185. 193. 181. 181. 193. 178. 177. 189.   0.   0. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
9,[184. 185.   0. 180. 181. 193. 178. 177. 188. 177. 177. 189.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
10,[178. 184.   0.   0. 185. 190. 177. 177. 180.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
11,[179. 184. 193.   0.   0. 189. 177. 177. 180.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
12,[178. 184. 193.   0. 187. 191. 177.   0. 179.   0. 177. 189.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
13,[177. 179. 191. 177. 185. 188.   0. 177. 181.   0. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
14,[177.   0. 191. 177. 185. 187. 177. 177. 181.   0. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
15,[177. 178. 192. 177.   0. 188. 177. 177. 181.   0. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
16,[183. 185. 193. 179. 179. 193. 179. 177. 189. 177.   0. 185.],"['10,4']","('13,13', [('13,13', 1.0)])",WRONG
17,[183. 185. 193. 180. 180. 193. 178. 177. 188. 177.   0. 186.],"['10,4']","('13,13', [('13,13', 1.0)])",WRONG
18,[183. 184. 193.   0. 181. 193. 178. 177. 188. 177.   0. 185.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
19,[178. 184. 192. 179.   0. 190. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
20,[179. 184. 193.   0. 187. 189. 177.   0. 180.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
21,[179. 183. 193.   0. 185. 189. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
22,[177. 179. 191.   0.   0. 188.   0. 177. 179.   0. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
23,[177. 180. 191. 177. 185. 188. 177. 177. 182.   0. 177.   0.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
24,[177. 179. 191. 177. 185. 188. 177.   0. 182.   0. 177. 188.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
25,[  0. 184. 193. 177. 181. 193. 177.   0. 183. 177. 178. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
26,[184. 185. 193. 179.   0. 193. 179. 177. 188. 177. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
27,[184. 185. 193. 180. 180. 193. 179. 177. 188. 177.   0. 186.],"['10,4']","('13,13', [('13,13', 1.0)])",WRONG
28,[183. 184. 193. 180. 181. 193. 179. 177. 188.   0. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
29,[179. 183. 193.   0. 185. 190. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
30,[177. 184. 193.   0.   0. 189. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
31,[178. 179. 193.   0. 185. 189. 177. 177. 179.   0. 177. 188.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
32,[177. 179. 192. 177. 185. 187. 177. 177. 181. 177. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
33,[177.   0. 191. 177. 185. 188. 177. 177. 181. 177. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
34,[177. 179. 192. 177.   0. 188. 178. 177. 182. 177. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
35,[184. 185. 193. 180. 181. 193. 179. 177. 188. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
36,[184. 185. 193. 180. 180. 193. 179. 177. 189. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
37,[183. 184. 193. 180.   0. 193. 179. 177. 188. 177.   0. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
38,[  0. 184. 193.   0. 185. 190. 177.   0. 179.   0. 177. 188.],"['10,4']","('1,13', [('1,13', 1.0)])",WRONG
39,[178. 184. 193.   0.   0. 190. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
40,[178. 183. 193.   0. 185. 190.   0. 177. 180.   0. 177. 188.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
41,[177. 179. 191. 177.   0. 189. 177. 177.   0. 177. 178. 188.],"['10,4']","('1,13', [('1,13', 1.0)])",WRONG
42,[  0. 180.   0.   0. 184. 188. 177. 177. 181.   0. 177. 187.],"['10,4']","('7,1', [('7,1', 1.0)])",WRONG
43,[  0. 179. 191. 177. 185. 189. 177. 177. 182. 177. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
44,[183. 185. 191. 180. 181. 193. 179. 177. 189. 177. 178. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
45,[183. 185. 193. 180.   0. 193. 178. 177. 188. 177.   0. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
46,[183. 185. 193. 180. 181. 193. 180.   0. 189. 177. 177.   0.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
47,[178. 184. 193.   0. 185. 189. 177. 177. 188.   0. 177. 188.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
48,[177. 184. 193.   0. 185. 190. 177. 178. 180.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
49,[177. 184. 193.   0.   0. 190. 177. 177. 180.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
50,[177. 179. 193.   0. 186. 188. 177. 177. 180. 177. 177. 189.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
51,[177. 180. 191. 177. 185. 188.   0. 177. 181. 177. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
52,[177.   0. 191. 177.   0. 188. 177. 177. 181.   0. 178. 187.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
53,[184. 179. 191. 177. 185. 193.   0.   0. 182.   0. 177. 188.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
54,[183. 185. 192. 179. 181. 193. 178.   0. 189. 177.   0. 186.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
55,[183. 185. 193. 180. 181. 193. 178. 177. 188. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
56,[177. 185. 193. 179.   0. 189. 179. 177. 189. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
57,[178. 184. 193.   0. 186. 189. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
58,[178. 185. 193.   0. 185. 190. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
59,[  0. 184. 193.   0. 185. 188. 177. 177. 180. 177. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
60,[  0. 181. 191. 177.   0. 188. 177. 177. 182.   0. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
61,[177. 180. 191. 177. 184. 188.   0. 177. 181.   0. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
62,[177. 179. 193. 177.   0.   0. 177. 177. 182. 177. 177. 186.],"['10,4']","('1,13', [('1,13', 1.0)])",WRONG
63,[184. 185. 193. 181. 181. 193. 178. 177. 188. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
64,[183. 185. 193. 179.   0. 193. 179.   0. 188. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
65,[184. 185. 193. 179. 180. 193. 178. 177. 188. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
66,[178. 184. 193.   0. 185. 190. 177. 177. 179.   0.   0. 188.],"['10,4']","('1,1', [('1,1', 1.0)])",WRONG
67,[178. 184. 193.   0.   0. 189. 177. 177. 181.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
68,[179. 184. 193.   0. 185. 189. 177. 177. 178.   0. 177. 189.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
69,[177. 178. 191. 177. 185. 189. 177. 177. 182.   0. 178. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
70,[177.   0. 191. 177. 185. 187. 177. 177. 182. 177. 177. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
71,[177. 179. 192. 177.   0. 188.   0. 177. 182. 177. 178. 187.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
72,[184. 180. 193. 178. 185. 188. 179.   0. 182. 177.   0. 185.],"['10,4']","('7,7', [('7,7', 1.0)])",WRONG
73,[184. 184. 193. 180. 181. 193. 179. 177. 188. 177.   0. 186.],"['10,4']","('13,13', [('13,13', 1.0)])",WRONG
74,[184. 185.   0. 180. 181. 193. 178. 177. 189. 177. 177. 186.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
75,[178. 184. 193.   0.   0. 193. 179.   0. 188. 177. 177. 188.],"['10,4']","('19,7', [('19,7', 1.0)])",WRONG
76,[  0. 184. 193.   0. 185. 189. 177. 177. 180. 177. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
77,[179. 184. 193.   0. 185. 190. 177. 177. 179.   0. 177. 188.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
78,[179. 184. 193. 177. 185. 190.   0. 177. 179.   0. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
79,[177. 180. 191.   0.   0. 188.   0. 177. 181.   0. 177. 187.],"['10,4']","('7,13', [('7,13', 1.0)])",WRONG
80,[177. 179. 191.   0. 184.   0. 177. 177. 182.   0. 178. 186.],"['10,4']","('1,7', [('1,7', 1.0)])",WRONG
