index,data,pred_location,label,error
0,[  0. 177. 177.   0. 183.   0. 188.   0. 188.   0. 189. 185.],"(10.653389042823209, 11.836884782250404)","7,13",3.8340694448563877
1,[  0. 177. 179. 190.   0. 184. 180.   0.   0. 177. 184. 177.],"(7.934806134835988, 8.491391254475587)","1,7",7.093361967479534
2,[191. 185. 182. 182.   0.   0.   0.   0.   0.   0.   0.   0.],"(1.4332902305623747, 1.0)","1,1",0.4332902305623747
3,[  0. 191. 190. 194. 193. 179. 177. 177. 181. 177. 178. 184.],"(3.691963518047147, 9.308693320328693)","7,7",4.0340017616829735
4,[177. 182.   0. 183. 188. 177. 189. 193. 192.   0. 191. 186.],"(6.879452111740292, 12.858514027295984)","7,13",0.18587650156993119
5,[  0.   0.   0. 182. 177. 177. 189. 177. 177. 193. 192. 191.],"(1.0, 19.000000000000007)","1,19",7.105427357601002e-15
6,[177. 183.   0. 184.   0. 177. 189. 193. 190. 177. 190. 186.],"(5.411516521143409, 13.692971352713608)","7,13",1.7330577192586705
7,[  0.   0.   0. 178. 177. 177. 185. 177. 177. 191. 192. 186.],"(1.0, 18.999999999999996)","1,19",3.552713678800501e-15
8,[  0.  177.    0.  182.  177.  187.  177.  183.  196.  177.5 178.  193. ],"(13.0, 13.043723212506297)","13,13",0.04372321250629696
9,[  0.   0. 178. 178. 181.   0. 179. 191. 189. 182. 195. 194.],"(4.800414817256593, 15.938301341847609)","7,19",3.7699036658085174
10,[177. 188. 193. 177. 187. 194. 179. 177. 188. 177. 178. 177.],"(12.806389811385756, 6.907116939005792)","13,7",0.2147374400399169
11,[177. 187. 190. 177. 177. 181.   0.   0. 177.   0. 177. 181.],"(12.999999999999993, 1.0023823782393106)","13,1",0.002382378239310645
12,[177. 177. 181. 193. 192. 177. 180. 178. 180. 177. 184. 180.],"(1.047148606028375, 6.999999999999998)","1,7",0.047148606028375006
13,[180.   0. 193. 178. 184. 177. 177. 180.   0. 177. 177. 187.],"(5.063071401110324, 11.048811164286839)","7,1",10.233782204673526
14,[  0. 177.   0. 179.   0.   0. 177. 192. 183. 185. 193. 194.],"(1.700177200111593, 14.375090219316645)","7,19",7.034053752259614
15,[177. 191. 189. 187. 193. 177. 177.   0. 177. 177. 181. 184.],"(7.501583689149072, 6.069773345855076)","7,7",1.056838599456915
16,[  0.  177.  177.  182.  180.    0.  189.  177.  177.  191.  187.5 188. ],"(2.6286211697197333, 13.196807395502649)","1,19",6.027391750944352
17,[177. 185. 190.   0.   0. 180.   0.   0. 177.   0. 177. 183.],"(12.999999999999995, 1.1214991239560177)","13,1",0.1214991239560177
18,[177. 187. 190. 177. 177. 182.   0.   0. 177.   0. 177. 183.],"(13.000000000000002, 1.001311992000109)","13,1",0.001311992000109008
19,[177. 190. 189. 183. 194. 183. 181. 177. 177. 177. 180. 179.],"(7.0000000000000036, 4.952906111210925)","7,7",2.0470938887890746
20,[196. 191. 185. 183. 179.   0. 177. 177. 177. 177. 177.   0.],"(1.1132109000238248, 1.2064010733400556)","1,1",0.2354105158231711
21,[  0. 177.   0. 188. 179. 177. 192. 184. 185. 185. 188. 184.],"(1.7546972519708055, 14.968340880592589)","1,13",2.1080639848790863
22,[  0.  177.  177.  188.  178.  177.  193.  184.  182.  184.5 187.  185. ],"(2.7300174380959716, 13.11038485509857)","1,13",1.7335354488303034
23,[191. 193. 184. 183.   0.   0. 178. 179. 177.   0.   0.   0.],"(1.0275815522705904, 1.0)","1,1",0.027581552270590448
24,[  0.   0.   0. 184. 181. 177. 190. 181.   0. 195. 185. 188.],"(1.1511551708214098, 18.859248256067943)","1,19",0.20654040545608737
25,[184. 187. 189. 177.   0. 182.   0.   0. 177. 177. 177. 182.],"(11.033965621350104, 3.85688113627236)","13,1",3.468005335177865
26,[  0. 177. 177. 177. 183. 182. 185. 191. 189.   0. 189. 181.],"(7.258527362153347, 12.999999999999993)","7,13",0.25852736215334726
27,[185. 183. 180. 195. 188. 181. 185. 184. 177.   0. 182. 177.],"(1.4545405529538198, 7.0)","1,7",0.4545405529538198
28,[177. 185. 188. 177. 177. 182.   0.   0. 177.   0. 177. 182.],"(12.999999999999995, 1.0024765799945965)","13,1",0.002476579994596495
29,[  0. 177.   0. 182.   0. 189. 177. 183. 196. 178. 179. 192.],"(11.261609107834847, 13.49081719520217)","13,13",1.8063511322743657
30,[  0. 177. 178.   0. 177. 177. 180.   0. 192.   0. 192. 197.],"(12.822082063730951, 15.938266895085068)","13,19",3.0668981720589077
31,[  0.   0.   0.   0.   0. 181.   0. 193. 188.   0.   0.   0.],"(9.592061731502321, 13.548143516417994)","7,13",2.6493858410035136
32,[177. 192.   0. 179. 192. 194.   0. 180. 183.   0. 183. 186.],"(11.711077883248857, 7.231786457007984)","13,7",1.309597336856853
33,[184. 193. 192. 177.   0. 187. 178. 181. 181.   0. 177. 185.],"(7.773879585805375, 2.0367732698949155)","7,1",1.2937497542009018
34,[185. 193. 192. 177. 183. 187. 177. 182. 181.   0. 177.   0.],"(7.992035419395375, 3.691544020956577)","7,1",2.8685437926031483
35,[  0.   0. 177. 177. 177. 181. 177. 179. 177. 177. 189. 198.],"(12.909508304052526, 18.99317861478846)","13,19",0.09074843432067746
36,[  0.    0.    0.    0.  177.  179.    0.  179.  192.  183.  185.5 197. ],"(9.408182624901146, 17.702682250403843)","13,19",3.8189246391463736
37,[  0. 178. 178.   0. 177. 177. 177. 179. 179.   0. 192. 197.],"(12.857862185702679, 18.271468374560854)","13,19",0.742267800405099
38,[  0. 186. 191. 180. 180.   0. 179.   0. 177. 177. 179. 182.],"(11.69182650127378, 2.8373830127711432)","13,1",2.2555031009487796
39,[183. 193. 192.   0. 184.   0. 178. 180. 181.   0. 177. 185.],"(4.736224220959272, 5.601168382588472)","7,1",5.127907103556311
40,[184. 191. 188.   0.   0. 196. 179. 177.   0. 177. 181. 185.],"(7.788039215185059, 3.976445382600807)","13,7",6.025480706702558
41,[  0. 177.   0. 182.   0. 188. 177. 182. 196. 178. 178. 192.],"(11.700512216676891, 13.364854371410132)","13,13",1.3497359783835834
42,[  0. 177. 180. 192. 184. 182. 182. 177.   0. 177.   0. 177.],"(5.96026948297052, 7.559399086507058)","1,7",4.991713201063695
43,[  0. 177. 177. 177. 183. 181. 187. 191. 188.   0. 190. 182.],"(7.138008345351574, 13.038696447904972)","7,13",0.1433308008319968
44,[191. 185.   0. 182.   0.   0. 177. 177. 177.   0. 177.   0.],"(2.7623915158570393, 4.035126309406038)","1,1",3.509703059977238
45,[  0.   0. 177. 177. 180. 184. 182. 190. 189. 184. 196. 194.],"(7.000000000000002, 19.000000000000004)","7,19",3.972054645195637e-15
46,[  0.   0. 177. 177. 194. 182. 187.   0. 188.   0. 189. 182.],"(6.03682414665536, 12.507394929236643)","7,13",1.081835237089247
47,[192. 184. 181. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(1.0, 1.0237948451120877)","1,1",0.023794845112087737
48,[  0. 177. 177. 181.   0.   0. 181. 192.   0. 183. 194. 193.],"(5.026444614398733, 14.493734558231747)","7,19",4.919486669532767
49,[177. 183. 177. 182.   0. 181. 187. 191.   0.   0.   0. 186.],"(5.268557367931065, 2.976339361788006)","7,13",10.172102347999958
50,[182. 191. 184. 192. 191. 181. 180.   0. 182. 177. 177. 184.],"(7.51170838119739, 6.481656237018041)","7,7",0.7283719681659575
51,[184. 193. 188.   0. 193. 185. 177. 177. 181.   0. 178. 184.],"(8.273562216801228, 6.25304247313701)","7,7",1.4764505636833667
