index,data,pred_location,label,error
0,[  0. 177. 177.   0. 183.   0. 188.   0. 188.   0. 189. 185.],"(11.5, 12.25)","7,13",4.562071897723665
1,[  0. 177. 179. 190.   0. 184. 180.   0.   0. 177. 184. 177.],"(10.75, 4.75)","1,7",10.00624804809475
2,[191. 185. 182. 182.   0.   0.   0.   0.   0.   0.   0.   0.],"(1.0, 1.0)","1,1",0.0
3,[  0. 191. 190. 194. 193. 179. 177. 177. 181. 177. 178. 184.],"(1.75, 7.375)","7,7",5.263375817856825
4,[177. 182.   0. 183. 188. 177. 189. 193. 192.   0. 191. 186.],"(7.0, 13.0)","7,13",0.0
5,[  0.   0.   0. 182. 177. 177. 189. 177. 177. 193. 192. 191.],"(1.0, 19.0)","1,19",0.0
6,[177. 183.   0. 184.   0. 177. 189. 193. 190. 177. 190. 186.],"(6.625, 12.625)","7,13",0.5303300858899106
7,[  0.   0.   0. 178. 177. 177. 185. 177. 177. 191. 192. 186.],"(1.0, 19.0)","1,19",0.0
8,[  0.  177.    0.  182.  177.  187.  177.  183.  196.  177.5 178.  193. ],"(13.0, 13.0)","13,13",0.0
9,[  0.   0. 178. 178. 181.   0. 179. 191. 189. 182. 195. 194.],"(4.0, 15.25)","7,19",4.802343178074636
10,[177. 188. 193. 177. 187. 194. 179. 177. 188. 177. 178. 177.],"(12.25, 6.625)","13,7",0.8385254915624212
11,[177. 187. 190. 177. 177. 181.   0.   0. 177.   0. 177. 181.],"(13.0, 1.0)","13,1",0.0
12,[177. 177. 181. 193. 192. 177. 180. 178. 180. 177. 184. 180.],"(1.0, 7.0)","1,7",0.0
13,[180.   0. 193. 178. 184. 177. 177. 180.   0. 177. 177. 187.],"(5.875, 9.25)","7,1",8.326351241690444
14,[  0. 177.   0. 179.   0.   0. 177. 192. 183. 185. 193. 194.],"(3.25, 14.875)","7,19",5.5747757802444395
15,[177. 191. 189. 187. 193. 177. 177.   0. 177. 177. 181. 184.],"(7.0, 6.25)","7,7",0.75
16,[  0.  177.  177.  182.  180.    0.  189.  177.  177.  191.  187.5 188. ],"(2.875, 13.75)","1,19",5.5747757802444395
17,[177. 185. 190.   0.   0. 180.   0.   0. 177.   0. 177. 183.],"(13.0, 1.0)","13,1",0.0
18,[177. 187. 190. 177. 177. 182.   0.   0. 177.   0. 177. 183.],"(13.0, 1.0)","13,1",0.0
19,[177. 190. 189. 183. 194. 183. 181. 177. 177. 177. 180. 179.],"(7.0, 6.25)","7,7",0.75
20,[196. 191. 185. 183. 179.   0. 177. 177. 177. 177. 177.   0.],"(1.375, 1.75)","1,1",0.8385254915624212
21,[  0. 177.   0. 188. 179. 177. 192. 184. 185. 185. 188. 184.],"(1.0, 15.625)","1,13",2.625
22,[  0.  177.  177.  188.  178.  177.  193.  184.  182.  184.5 187.  185. ],"(1.0, 13.0)","1,13",0.0
23,[191. 193. 184. 183.   0.   0. 178. 179. 177.   0.   0.   0.],"(1.0, 1.0)","1,1",0.0
24,[  0.   0.   0. 184. 181. 177. 190. 181.   0. 195. 185. 188.],"(1.0, 19.0)","1,19",0.0
25,[184. 187. 189. 177.   0. 182.   0.   0. 177. 177. 177. 182.],"(12.625, 1.75)","13,1",0.8385254915624212
26,[  0. 177. 177. 177. 183. 182. 185. 191. 189.   0. 189. 181.],"(7.0, 13.0)","7,13",0.0
27,[185. 183. 180. 195. 188. 181. 185. 184. 177.   0. 182. 177.],"(1.0, 7.0)","1,7",0.0
28,[177. 185. 188. 177. 177. 182.   0.   0. 177.   0. 177. 182.],"(13.0, 1.0)","13,1",0.0
29,[  0. 177.   0. 182.   0. 189. 177. 183. 196. 178. 179. 192.],"(10.75, 14.5)","13,13",2.704163456597992
30,[  0. 177. 178.   0. 177. 177. 180.   0. 192.   0. 192. 197.],"(13.0, 14.125)","13,19",4.875
31,[  0.   0.   0.   0.   0. 181.   0. 193. 188.   0.   0.   0.],"(10.75, 14.5)","7,13",4.038873605350878
32,[177. 192.   0. 179. 192. 194.   0. 180. 183.   0. 183. 186.],"(10.0, 7.0)","13,7",3.0
33,[184. 193. 192. 177.   0. 187. 178. 181. 181.   0. 177. 185.],"(7.375, 1.375)","7,1",0.5303300858899106
34,[185. 193. 192. 177. 183. 187. 177. 182. 181.   0. 177.   0.],"(8.875, 4.375)","7,1",3.8608613028701253
