index,data,pred_location,label,error
0,[  0. 177. 177.   0. 183.   0. 188.   0. 188.   0. 189. 185.],"(11.367647058823529, 11.235294117647058)","7,13",4.710682294706458
1,[  0. 177. 179. 190.   0. 184. 180.   0.   0. 177. 184. 177.],"(10.088235294117647, 5.411764705882353)","1,7",9.225969440157854
2,[191. 185. 182. 182.   0.   0.   0.   0.   0.   0.   0.   0.],"(1.0, 1.0)","1,1",0.0
3,[  0. 191. 190. 194. 193. 179. 177. 177. 181. 177. 178. 184.],"(2.3676470588235294, 7.044117647058823)","7,7",4.63256302044649
4,[177. 182.   0. 183. 188. 177. 189. 193. 192.   0. 191. 186.],"(7.0, 13.0)","7,13",0.0
5,[  0.   0.   0. 182. 177. 177. 189. 177. 177. 193. 192. 191.],"(1.0, 19.0)","1,19",0.0
6,[177. 183.   0. 184.   0. 177. 189. 193. 190. 177. 190. 186.],"(6.338235294117647, 12.514705882352942)","7,13",0.8206356722531589
7,[  0.   0.   0. 178. 177. 177. 185. 177. 177. 191. 192. 186.],"(1.0, 19.0)","1,19",0.0
8,[  0.  177.    0.  182.  177.  187.  177.  183.  196.  177.5 178.  193. ],"(13.0, 13.0)","13,13",0.0
9,[  0.   0. 178. 178. 181.   0. 179. 191. 189. 182. 195. 194.],"(5.632352941176471, 16.397058823529413)","7,19",2.9403675358149926
10,[177. 188. 193. 177. 187. 194. 179. 177. 188. 177. 178. 177.],"(12.735294117647058, 6.911764705882353)","13,7",0.2790244994266224
11,[177. 187. 190. 177. 177. 181.   0.   0. 177.   0. 177. 181.],"(13.0, 1.0)","13,1",0.0
12,[177. 177. 181. 193. 192. 177. 180. 178. 180. 177. 184. 180.],"(1.0, 7.0)","1,7",0.0
13,[180.   0. 193. 178. 184. 177. 177. 180.   0. 177. 177. 187.],"(4.529411764705882, 8.279411764705882)","7,1",7.687238897582936
14,[  0. 177.   0. 179.   0.   0. 177. 192. 183. 185. 193. 194.],"(2.3676470588235294, 14.367647058823529)","7,19",6.551136355110661
15,[177. 191. 189. 187. 193. 177. 177.   0. 177. 177. 181. 184.],"(7.0, 6.867647058823529)","7,7",0.132352941176471
16,[  0.  177.  177.  182.  180.    0.  189.  177.  177.  191.  187.5 188. ],"(2.2794117647058822, 13.352941176470589)","1,19",5.790178565473538
17,[177. 185. 190.   0.   0. 180.   0.   0. 177.   0. 177. 183.],"(13.0, 1.0)","13,1",0.0
18,[177. 187. 190. 177. 177. 182.   0.   0. 177.   0. 177. 183.],"(13.0, 1.0)","13,1",0.0
19,[177. 190. 189. 183. 194. 183. 181. 177. 177. 177. 180. 179.],"(7.0, 6.6911764705882355)","7,7",0.3088235294117645
20,[196. 191. 185. 183. 179.   0. 177. 177. 177. 177. 177.   0.],"(1.3970588235294117, 1.75)","1,1",0.8486198850737358
21,[  0. 177.   0. 188. 179. 177. 192. 184. 185. 185. 188. 184.],"(1.0, 14.235294117647058)","1,13",1.235294117647058
22,[  0.  177.  177.  188.  178.  177.  193.  184.  182.  184.5 187.  185. ],"(1.0, 13.0)","1,13",0.0
23,[191. 193. 184. 183.   0.   0. 178. 179. 177.   0.   0.   0.],"(1.0, 1.0)","1,1",0.0
24,[  0.   0.   0. 184. 181. 177. 190. 181.   0. 195. 185. 188.],"(1.0, 19.0)","1,19",0.0
25,[184. 187. 189. 177.   0. 182.   0.   0. 177. 177. 177. 182.],"(12.338235294117647, 2.3676470588235294)","13,1",1.519339002151991
26,[  0. 177. 177. 177. 183. 182. 185. 191. 189.   0. 189. 181.],"(7.0, 13.0)","7,13",0.0
27,[185. 183. 180. 195. 188. 181. 185. 184. 177.   0. 182. 177.],"(1.0, 7.0)","1,7",0.0
28,[177. 185. 188. 177. 177. 182.   0.   0. 177.   0. 177. 182.],"(13.0, 1.0)","13,1",0.0
29,[  0. 177.   0. 182.   0. 189. 177. 183. 196. 178. 179. 192.],"(12.117647058823529, 13.75)","13,13",1.1580357130947079
30,[  0. 177. 178.   0. 177. 177. 180.   0. 192.   0. 192. 197.],"(13.0, 14.808823529411764)","13,19",4.1911764705882355
31,[  0.   0.   0.   0.   0. 181.   0. 193. 188.   0.   0.   0.],"(9.161764705882353, 14.455882352941176)","7,13",2.606303909601517
32,[177. 192.   0. 179. 192. 194.   0. 180. 183.   0. 183. 186.],"(10.264705882352942, 6.514705882352941)","13,7",2.7780108514290283
33,[184. 193. 192. 177.   0. 187. 178. 181. 181.   0. 177. 185.],"(7.132352941176471, 1.1323529411764706)","7,1",0.18717532443173346
34,[185. 193. 192. 177. 183. 187. 177. 182. 181.   0. 177.   0.],"(10.0, 4.352941176470588)","7,1",4.49913486493481
35,[  0.   0. 177. 177. 177. 181. 177. 179. 177. 177. 189. 198.],"(8.985294117647058, 19.0)","13,19",4.014705882352942
36,[  0.    0.    0.    0.  177.  179.    0.  179.  192.  183.  185.5 197. ],"(11.102941176470589, 18.426470588235293)","13,19",1.9818597745778999
37,[  0. 178. 178.   0. 177. 177. 177. 179. 179.   0. 192. 197.],"(13.0, 18.955882352941178)","13,19",0.044117647058822484
38,[  0. 186. 191. 180. 180.   0. 179.   0. 177. 177. 179. 182.],"(7.397058823529412, 7.088235294117647)","13,1",8.27402917710165
39,[183. 193. 192.   0. 184.   0. 178. 180. 181.   0. 177. 185.],"(6.294117647058823, 3.25)","7,1",2.3581284732163708
40,[184. 191. 188.   0.   0. 196. 179. 177.   0. 177. 181. 185.],"(8.235294117647058, 3.426470588235294)","13,7",5.9558823529411775
41,[  0. 177.   0. 182.   0. 188. 177. 182. 196. 178. 178. 192.],"(12.117647058823529, 13.75)","13,13",1.1580357130947079
42,[  0. 177. 180. 192. 184. 182. 182. 177.   0. 177.   0. 177.],"(5.411764705882353, 7.220588235294118)","1,7",4.417275969375174
43,[  0. 177. 177. 177. 183. 181. 187. 191. 188.   0. 190. 182.],"(7.0, 13.0)","7,13",0.0
44,[191. 185.   0. 182.   0.   0. 177. 177. 177.   0. 177.   0.],"(4.264705882352941, 6.426470588235294)","1,1",6.332841979968599
45,[  0.   0. 177. 177. 180. 184. 182. 190. 189. 184. 196. 194.],"(7.0, 19.0)","7,19",0.0
46,[  0.   0. 177. 177. 194. 182. 187.   0. 188.   0. 189. 182.],"(6.426470588235294, 11.764705882352942)","7,13",1.3619425623911579
47,[192. 184. 181. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(1.0, 1.0)","1,1",0.0
48,[  0. 177. 177. 181.   0.   0. 181. 192.   0. 183. 194. 193.],"(5.323529411764706, 13.661764705882353)","7,19",5.59529353015383
49,[177. 183. 177. 182.   0. 181. 187. 191.   0.   0.   0. 186.],"(5.1911764705882355, 2.2794117647058822)","7,13",10.872113624833043
50,[182. 191. 184. 192. 191. 181. 180.   0. 182. 177. 177. 184.],"(7.0, 7.0)","7,7",0.0
51,[184. 193. 188.   0. 193. 185. 177. 177. 181.   0. 178. 184.],"(8.411764705882353, 4.220588235294118)","7,7",3.1174042635757964
52,[177. 195. 194. 177.   0. 189.   0. 180.   0.   0. 185. 187.],"(8.191176470588236, 2.1911764705882355)","7,1",1.6845779198855988
53,[  0. 177. 177. 181. 178. 188. 177. 183. 195. 179. 178. 192.],"(12.867647058823529, 13.705882352941176)","13,13",0.7181832615926335
54,[177. 180. 181. 177.   0. 192. 177. 179. 197.   0. 185. 184.],"(12.955882352941176, 10.617647058823529)","13,13",2.3827614028924904
55,[184. 185. 190. 179. 180.   0. 178.   0.   0. 177. 180.   0.],"(10.088235294117647, 1.0)","13,1",2.9117647058823533
56,[  0. 192. 183. 182. 194. 181. 178. 179. 179.   0. 180. 178.],"(7.132352941176471, 6.382352941176471)","7,7",0.6316685763210153
57,[177. 196. 193. 177.   0. 190.   0. 181.   0. 177. 185. 187.],"(6.735294117647059, 1.2647058823529411)","7,1",0.37435064886346625
58,[178. 190. 185. 187. 193. 178. 180. 177. 177. 177. 180. 181.],"(6.735294117647059, 6.735294117647059)","7,7",0.37435064886346625
59,[184. 182. 180. 195.   0. 182. 185. 183. 177.   0. 182. 177.],"(1.661764705882353, 7.0)","1,7",0.661764705882353
60,[180. 191. 185. 187.   0. 180. 181. 177. 182. 177. 177. 184.],"(7.0, 6.470588235294118)","7,7",0.5294117647058822
61,[184. 191. 189. 184. 192. 196.   0.   0. 183. 177. 180. 185.],"(10.838235294117647, 5.764705882352941)","13,7",2.4898148928569053
62,[185. 177. 181. 196.   0. 181. 184.   0. 177.   0. 185. 177.],"(7.0, 4.617647058823529)","1,7",6.45566460841424
63,[178. 192. 184. 188. 192. 179. 181.   0.   0. 177. 179.   0.],"(10.838235294117647, 2.7205882352941178)","7,7",5.748514175412068
64,[177. 178. 180. 177.   0. 192. 177. 180. 197. 177. 185. 183.],"(13.0, 8.985294117647058)","13,13",4.014705882352942
65,[  0. 178. 177.   0. 194.   0. 190. 193. 186. 184. 191. 184.],"(7.4411764705882355, 15.294117647058824)","7,13",2.336153346154188
66,[177. 177.   0. 193. 191. 177. 179. 178. 180. 177. 183. 180.],"(6.470588235294118, 7.970588235294118)","1,7",5.556021702858058
67,[  0. 177. 177. 177. 182. 183. 186. 191. 189.   0. 190. 183.],"(7.0, 13.0)","7,13",0.0
68,[177. 177. 177. 177. 177. 178. 183.   0. 180. 177. 194. 192.],"(7.617647058823529, 8.411764705882353)","7,19",10.606234701008269
69,[177. 192. 183. 183.   0. 182. 177. 179. 179.   0. 179. 177.],"(7.0, 6.5588235294117645)","7,7",0.4411764705882355
70,[178. 182. 193. 177.   0. 179. 177.   0.   0.   0. 177. 177.],"(12.911764705882353, 1.0)","13,1",0.08823529411764675
71,[177. 179. 182. 178.   0. 188. 177. 180. 196.   0. 181. 192.],"(12.602941176470589, 10.970588235294118)","13,13",2.0678897021043463
72,[177. 177. 177. 178.   0. 184.   0. 191. 189. 182. 195. 194.],"(8.102941176470589, 11.235294117647058)","7,19",7.842648575462291
73,[182. 186. 190. 179.   0.   0. 180.   0. 177.   0. 180. 182.],"(11.764705882352942, 1.0)","13,1",1.235294117647058
74,[180. 191. 184. 187.   0. 181. 179.   0. 181.   0. 178.   0.],"(4.529411764705882, 4.882352941176471)","7,7",3.2539568672798422
75,[177. 177. 180. 193. 191. 177. 181.   0. 180. 177. 183. 180.],"(5.632352941176471, 7.0)","1,7",4.632352941176471
76,[185. 191. 189. 185. 194. 196. 179.   0. 185. 177. 180. 185.],"(11.235294117647058, 7.0)","13,7",1.764705882352942
77,[  0.   0. 177. 187. 180.   0. 190. 180.   0. 181.   0. 179.],"(3.6911764705882355, 15.779411764705882)","1,13",3.868793165010662
78,[177. 185. 189. 177. 177. 182.   0.   0. 177.   0. 177. 183.],"(13.0, 1.0)","13,1",0.0
79,[177. 178. 180. 178. 184. 185. 177. 180. 197. 177. 184. 183.],"(12.161764705882353, 10.573529411764707)","13,13",2.5671770339957916
80,[  0.   0.   0. 179.   0.   0. 190. 177. 177. 191. 193. 185.],"(2.3676470588235294, 17.455882352941178)","1,19",2.062706422510757
81,[  0. 177. 177.   0. 177. 181. 177. 180. 177. 177. 190. 198.],"(12.602941176470589, 17.63235294117647)","13,19",1.424118740432556
82,[177. 177. 181. 193. 192.   0. 180.   0. 181. 177. 184. 179.],"(8.058823529411764, 5.411764705882353)","1,7",7.235294117647058
83,[  0.   0. 177. 191. 177. 177. 192. 187. 178. 178. 184. 177.],"(1.0, 13.0)","1,13",0.0
84,[  0.   0.   0. 181. 177. 188. 177. 182. 196. 177. 178. 192.],"(10.926470588235293, 15.426470588235293)","13,13",3.1917524554739862
85,[  0.   0.   0. 178.   0. 177. 186. 177. 177. 191. 193. 185.],"(1.0, 19.0)","1,19",0.0
86,[  0.   0.   0. 184. 181. 177. 189.   0. 183. 195. 184. 189.],"(1.3088235294117647, 18.294117647058822)","1,19",0.7704815822017501
87,[177. 193. 188. 177.   0. 194.   0. 181. 182.   0. 180. 186.],"(12.647058823529411, 6.647058823529412)","13,7",0.49913419848462187
88,[177. 188. 189. 179.   0. 182.   0.   0. 177.   0. 180. 183.],"(13.0, 1.0)","13,1",0.0
89,[  0.   0.   0. 188.   0.   0. 193. 178. 185. 184. 184. 188.],"(2.3676470588235294, 15.338235294117647)","1,13",2.7088378999427207
90,[  0.   0.   0. 183. 177. 177. 187. 178.   0. 191. 183. 186.],"(1.0, 19.0)","1,19",0.0
91,[  0. 177. 178. 189.   0. 180. 192. 187. 178. 178. 191. 177.],"(1.4411764705882353, 13.0)","1,13",0.4411764705882353
92,[  0.   0. 180. 191. 177. 180. 192.   0. 177. 180. 185.   0.],"(1.0, 13.485294117647058)","1,13",0.485294117647058
93,[180. 192.   0. 179. 185. 177.   0. 178. 177. 177. 177. 184.],"(8.632352941176471, 5.323529411764706)","7,1",4.621415659617941
94,[  0.   0. 177.   0.   0. 177. 177. 179. 181. 177. 193. 198.],"(12.073529411764707, 19.0)","13,19",0.9264705882352935
95,[  0.   0. 177. 177. 177. 177. 177. 188.   0. 179.   0. 193.],"(6.602941176470588, 15.073529411764707)","7,19",3.9464955326997866
96,[  0. 177. 180.   0. 177. 177. 177. 179. 179.   0. 192. 198.],"(13.0, 18.955882352941178)","13,19",0.044117647058822484
97,[  0. 192. 187. 177.   0.   0.   0. 181. 182.   0. 181. 185.],"(10.0, 10.0)","13,7",4.242640687119285
98,[177. 177. 181. 193.   0. 182. 184.   0. 181. 177. 183. 177.],"(7.661764705882353, 6.514705882352941)","1,7",6.679417592662
99,[177.   0. 180. 192.   0.   0. 180. 177. 182. 177. 183. 181.],"(2.1470588235294117, 6.338235294117647)","1,7",1.3242645017473795
100,[177. 190. 183. 184. 194. 183. 180. 177. 177.   0. 181. 179.],"(7.0, 7.0)","7,7",0.0
101,[  0. 177. 177. 177.   0.   0. 177. 180. 177. 177. 189.   0.],"(5.544117647058823, 13.308823529411764)","13,19",9.379747932661987
102,[177. 177.   0. 185.   0. 180. 193. 193. 186. 184. 193. 184.],"(4.75, 12.470588235294118)","7,13",2.3114447466052472
103,[177. 186.   0. 177. 177. 182.   0.   0. 177.   0. 177. 182.],"(12.470588235294118, 2.8529411764705883)","13,1",1.9270879118683726
104,[  0.   0. 177. 183. 177. 177. 190. 178. 177. 194.   0. 185.],"(4.3088235294117645, 15.470588235294118)","1,19",4.837877691057641
105,[  0. 177.   0. 183.   0. 177. 189. 177.   0. 194.   0. 185.],"(3.911764705882353, 15.514705882352942)","1,19",4.541546959894539
106,[  0. 177. 179. 177. 177. 181.   0. 178. 190. 183.   0. 197.],"(5.8088235294117645, 11.323529411764707)","13,19",10.518613013281902
107,[  0.   0. 178.   0. 177. 178. 179. 179. 192. 183. 187. 197.],"(13.0, 18.955882352941178)","13,19",0.044117647058822484
108,[177.   0. 180. 193. 192. 177. 179.   0. 180. 177.   0. 181.],"(4.926470588235294, 7.838235294117647)","1,7",4.014948279689455
109,[  0.  177.    0.  182.  178.  189.  177.  182.  196.  177.  177.  192.5],"(13.0, 13.0)","13,13",0.0
110,[  0.   0.   0.   0. 181. 177. 177. 188. 187. 178. 195. 193.],"(8.544117647058824, 18.647058823529413)","7,19",1.5839402709720218
111,[184. 193. 192. 177.   0.   0. 177.   0. 180.   0. 177. 182.],"(11.764705882352942, 1.0)","7,1",4.764705882352942
112,[  0. 177.   0. 189. 180.   0. 193. 186. 184. 183. 188.   0.],"(2.8088235294117645, 13.617647058823529)","1,13",1.9113687372736292
113,[  0.   0. 177. 183. 178. 177. 190. 180.   0. 194. 193. 187.],"(4.705882352941177, 17.41176470588235)","1,19",4.031879879575011
114,[  0.   0.   0. 184.   0. 177. 186. 178. 182. 191. 192. 189.],"(1.0, 19.0)","1,19",0.0
115,[183. 193. 191.   0.   0. 188. 177. 181. 181.   0. 178. 185.],"(8.588235294117647, 4.088235294117647)","7,1",3.472706233086075
116,[185. 184. 181. 196. 189.   0. 184. 182. 177.   0. 184. 177.],"(2.7205882352941178, 7.0)","1,7",1.7205882352941178
117,[  0.   0. 177.   0. 179. 186. 177.   0. 193. 177. 187. 190.],"(10.176470588235293, 16.794117647058822)","13,13",4.729444688208493
118,[177. 177. 179. 193. 184. 184. 181. 177. 177. 177. 177.   0.],"(5.632352941176471, 5.323529411764706)","1,7",4.9263827911404015
119,[  0.  177.  177.  177.    0.  181.  187.5 192.  189.  177.  190.  182. ],"(7.0, 13.0)","7,13",0.0
120,[177.   0. 193. 179. 185. 194. 177. 177. 188. 177. 177. 178.],"(7.970588235294118, 7.176470588235294)","13,7",5.032506787623246
121,[177. 177.   0. 181. 177.   0. 180.   0. 183. 181. 194. 193.],"(7.088235294117647, 4.220588235294118)","7,19",14.779675151296617
122,[  0. 196. 193. 177.   0. 190.   0. 179.   0. 177. 185. 188.],"(7.220588235294118, 1.3970588235294117)","7,1",0.45421897680824996
123,[177.   0.   0. 184. 189.   0. 189. 193. 190.   0. 191. 185.],"(6.911764705882353, 13.794117647058824)","7,13",0.7990045710121257
124,[181. 193. 190. 178. 185.   0. 177. 180. 177. 177. 177. 181.],"(7.529411764705882, 2.8970588235294117)","7,1",1.9695453781367394
125,[  0.   0.   0. 177. 177. 181. 177. 180. 177.   0. 193. 198.],"(5.720588235294118, 16.794117647058822)","13,19",7.606296904220589
126,[  0. 177. 177. 184. 194. 180. 192. 193. 187. 184. 193. 184.],"(7.0, 13.0)","7,13",0.0
127,[  0.   0. 180.   0.   0. 177. 177. 180. 180.   0. 192. 198.],"(11.852941176470589, 18.426470588235293)","13,19",1.2824507518013497
