DatetimeSec,Location,1,2,3,4,5,6,7,8,9,10,11,12
0.0,"1,1",192.0,185.5,180.66666666666666,179.0,177.0,0.0,0.0,177.0,177.0,0.0,177.0,177.0
1.0,"1,1",194.5,192.0,184.0,184.33333333333334,177.0,177.0,177.0,177.5,0.0,177.0,177.0,177.0
2.0,"1,1",193.66666666666666,190.5,186.0,183.0,177.5,0.0,177.0,177.66666666666666,177.0,177.0,177.0,177.0
3.0,"1,1",192.5,188.5,180.5,182.5,178.0,0.0,177.0,177.0,177.0,177.0,177.0,0.0
4.0,"1,1",192.33333333333334,188.5,183.5,182.33333333333334,177.0,177.0,178.0,179.0,177.0,0.0,177.0,177.0
5.0,"1,1",195.0,193.0,184.66666666666666,184.5,0.0,177.0,177.0,179.0,177.0,177.0,177.0,177.0
6.0,"1,1",194.0,191.0,184.0,184.0,179.5,0.0,177.0,177.0,177.0,0.0,177.0,177.0
7.0,"1,1",192.0,185.0,182.66666666666666,182.0,177.0,0.0,177.0,177.0,177.0,177.0,0.0,0.0
8.0,"1,1",193.66666666666666,190.0,183.5,184.5,177.0,177.0,177.5,179.0,177.0,0.0,177.0,177.0
9.0,"1,1",193.5,192.0,184.66666666666666,184.0,178.0,177.0,178.0,178.33333333333334,177.0,177.0,177.0,177.0
10.0,"1,1",192.66666666666666,191.5,184.0,182.66666666666666,179.0,0.0,177.0,177.0,177.0,177.0,177.0,177.0
11.0,"1,1",192.0,184.66666666666666,181.33333333333334,181.5,177.0,0.0,177.0,0.0,177.0,0.0,0.0,0.0
12.0,"1,1",195.0,193.0,185.0,184.5,177.0,177.0,178.0,180.0,177.0,0.0,177.0,177.0
13.0,"1,1",194.0,191.66666666666666,185.0,183.5,178.0,0.0,177.66666666666666,178.0,177.0,177.0,177.0,177.0
14.0,"1,1",193.33333333333334,188.0,184.0,183.0,178.0,0.0,177.0,177.0,177.0,0.0,0.0,177.0
15.0,"1,1",191.0,184.0,182.0,181.0,0.0,177.0,177.5,0.0,177.0,0.0,0.0,0.0
16.0,"1,1",194.66666666666666,193.0,184.33333333333334,183.5,177.0,177.0,178.5,179.0,177.0,177.0,177.0,177.0
17.0,"1,1",193.0,191.0,183.0,183.66666666666666,177.5,0.0,177.66666666666666,177.33333333333334,177.0,177.0,177.0,177.0
18.0,"1,1",192.0,188.0,182.66666666666666,183.0,177.0,0.0,177.0,177.0,177.0,0.0,0.0,177.0
19.0,"1,1",193.0,187.33333333333334,183.0,185.0,177.0,177.0,177.0,179.0,177.0,0.0,0.0,177.0
20.0,"1,1",194.33333333333334,193.0,184.33333333333334,183.33333333333334,177.0,177.0,177.0,178.0,177.0,177.0,177.0,177.0
21.0,"1,1",193.0,191.33333333333334,184.0,184.0,179.5,0.0,177.0,177.0,177.0,177.0,177.0,177.0
22.0,"1,1",190.66666666666666,184.5,181.66666666666666,180.5,177.0,0.0,177.0,177.0,177.0,177.0,0.0,0.0
23.0,"1,1",194.5,188.0,184.5,183.66666666666666,177.0,177.0,177.66666666666666,180.0,177.0,177.0,177.0,177.0
24.0,"1,1",194.0,192.0,184.0,184.0,177.0,177.0,178.0,178.66666666666666,177.0,177.0,177.0,177.0
