Location, 0x0001, 0x0002, 0x0003, 0x0004, 0x0005, 0x0006, 0x0007, 0x0008, 0x0009, 0x000A, 0x000B, 0x000C
"1,1",193.2018141,189.4590164,183.5217391,182.9301746,177.5605536,177,177.3694581,177.7354839,177,177,177,177
"1,13",179.3752969,184.6682578,190.6443418,177.9518717,178.1799163,180.3674912,178.0862069,177,177.0038462,177,177.8856502,180.5151515
"1,7",180.7990971,193.4029536,191.3459916,177.6388206,183.7602339,184.2372506,177.3333333,180.0130435,178.7227414,177.0181818,179.7169043,184.4568966
"13,1",177,177.0310559,177.9129129,189.4666667,178.3986254,178.4289694,192.5466667,183.5219638,180.2564706,180.5031847,187.3213483,179.3008357
"13,13",177,177.9974359,178.8566434,178.9141104,180.4969136,188.4444444,177.0091743,179.3349633,195.1928251,177.4652015,183.1703057,188.5068493
"13,7",177,179.5412371,177.0430464,181.5261845,188,179.9442971,189.2653509,192.3333333,188.5889145,181.204918,190.6894273,184.1956522
"19,1",0,177,177,181.2372881,178.1081967,177.0075377,188.4669604,178.8428928,178.8760331,193.2,189.4195652,188.3080569
"19,13",,177.1220472,178.120603,177,177.0071685,179.3758865,177.6334107,179.2511962,183.8251928,179.8704819,189.3757962,197.496614
"19,7",177,177.0251046,177.229765,177.9952607,178.1316614,179.4334862,180.1274298,190.0637813,184.505618,180.7351779,193.7521008,193.4505495
"7,1",180.2565598,179.1256684,180.2887324,193.5672372,187.3386581,180.7368421,182.0825893,178.8599509,178.2542787,177,181.2084257,178.037037
"7,13",179.5452586,190.2984749,189.6666667,179.6077098,190.28739,194.7896996,178.1345029,178.3975309,185.1594828,177,179.6625514,182.579646
"7,7",179.5366972,191.0541126,185.5274725,187.7090909,192.8294798,183.3042506,178.9412998,177.7024129,179.6430108,177.0064103,180.0020619,181.1188341
