Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,Location
19/3/20, 15:12:20, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B7,"19,7"
19/3/20, 15:12:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6677,34.8,43, 0201041AFF4C0002150005000100001000800000805F9B013100076677B7,"19,7"
19/3/20, 15:12:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BF,"19,7"
19/3/20, 15:12:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B1,"19,7"
19/3/20, 15:12:21, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6976,34.1,45, 0201041AFF4C0002150005000100001000800000805F9B013100096976BE,"19,7"
19/3/20, 15:12:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B3,"19,7"
19/3/20, 15:12:22, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C0,"19,7"
19/3/20, 15:12:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6677,34.8,43, 0201041AFF4C0002150005000100001000800000805F9B013100076677B1,"19,7"
19/3/20, 15:12:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B9,"19,7"
19/3/20, 15:12:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175C0,"19,7"
19/3/20, 15:12:23, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B3,"19,7"
19/3/20, 15:12:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C1,"19,7"
19/3/20, 15:12:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B7,"19,7"
19/3/20, 15:12:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7D70,30,55, 0201041AFF4C0002150005000100001000800000805F9B013100027D70B1,"19,7"
19/3/20, 15:12:24, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B3,"19,7"
19/3/20, 15:12:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6676,34.1,43, 0201041AFF4C0002150005000100001000800000805F9B013100076676B1,"19,7"
19/3/20, 15:12:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BB,"19,7"
19/3/20, 15:12:25, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C1,"19,7"
19/3/20, 15:12:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B6,"19,7"
19/3/20, 15:12:26, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B1,"19,7"
19/3/20, 15:12:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C1,"19,7"
19/3/20, 15:12:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C1,"19,7"
19/3/20, 15:12:27, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BD,"19,7"
19/3/20, 15:12:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B5,"19,7"
19/3/20, 15:12:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B2,"19,7"
19/3/20, 15:12:28, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B1,"19,7"
19/3/20, 15:12:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6676,34.1,43, 0201041AFF4C0002150005000100001000800000805F9B013100076676B1,"19,7"
19/3/20, 15:12:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7E74,32.8,55, 0201041AFF4C0002150005000100001000800000805F9B013100057E74B1,"19,7"
19/3/20, 15:12:29, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C2,"19,7"
19/3/20, 15:12:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BC,"19,7"
19/3/20, 15:12:30, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B8,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B1,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7D70,30,55, 0201041AFF4C0002150005000100001000800000805F9B013100027D70B1,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B1,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6676,34.1,43, 0201041AFF4C0002150005000100001000800000805F9B013100076676B9,"19,7"
19/3/20, 15:12:31, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C2,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175C0,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x846F,29.3,58, 0201041AFF4C0002150005000100001000800000805F9B01310001846FB1,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B3,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7E74,32.8,55, 0201041AFF4C0002150005000100001000800000805F9B013100057E74B1,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B7,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:32, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B1,"19,7"
19/3/20, 15:12:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6676,34.1,43, 0201041AFF4C0002150005000100001000800000805F9B013100076676B9,"19,7"
19/3/20, 15:12:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C1,"19,7"
19/3/20, 15:12:33, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B2,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175C0,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x846F,29.3,58, 0201041AFF4C0002150005000100001000800000805F9B01310001846FB1,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B7,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:34, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B1,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6676,34.1,43, 0201041AFF4C0002150005000100001000800000805F9B013100076676B9,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7E74,32.8,55, 0201041AFF4C0002150005000100001000800000805F9B013100057E74B1,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7D70,30,55, 0201041AFF4C0002150005000100001000800000805F9B013100027D70B2,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C2,"19,7"
19/3/20, 15:12:35, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B4,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x846F,29.3,58, 0201041AFF4C0002150005000100001000800000805F9B01310001846FB1,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175C1,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876B7,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6777,34.8,44, 0201041AFF4C0002150005000100001000800000805F9B013100076777B5,"19,7"
19/3/20, 15:12:36, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB2,"19,7"
19/3/20, 15:12:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B8,"19,7"
19/3/20, 15:12:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7176,34.1,49, 0201041AFF4C0002150005000100001000800000805F9B0131000B7176C4,"19,7"
19/3/20, 15:12:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B8,"19,7"
19/3/20, 15:12:37, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x7E74,32.8,55, 0201041AFF4C0002150005000100001000800000805F9B013100057E74B4,"19,7"
19/3/20, 15:12:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BE,"19,7"
19/3/20, 15:12:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876BD,"19,7"
19/3/20, 15:12:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7C74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047C74B1,"19,7"
19/3/20, 15:12:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6677,34.8,43, 0201041AFF4C0002150005000100001000800000805F9B013100076677B6,"19,7"
19/3/20, 15:12:38, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB1,"19,7"
19/3/20, 15:12:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B8,"19,7"
19/3/20, 15:12:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x6977,34.8,45, 0201041AFF4C0002150005000100001000800000805F9B0131000C6977C2,"19,7"
19/3/20, 15:12:39, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x7D70,30,55, 0201041AFF4C0002150005000100001000800000805F9B013100027D70B1,"19,7"
19/3/20, 15:12:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0008, 0x7175,33.5,49, 0201041AFF4C0002150005000100001000800000805F9B013100087175BF,"19,7"
19/3/20, 15:12:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x6876,34.1,44, 0201041AFF4C0002150005000100001000800000805F9B013100096876BE,"19,7"
19/3/20, 15:12:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x7B74,32.8,54, 0201041AFF4C0002150005000100001000800000805F9B013100047B74B1,"19,7"
19/3/20, 15:12:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x6777,34.8,44, 0201041AFF4C0002150005000100001000800000805F9B013100076777B5,"19,7"
19/3/20, 15:12:40, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7077,34.8,48, 0201041AFF4C0002150005000100001000800000805F9B0131000A7077B7,"19,7"
19/3/20, 15:12:41, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x7875,33.5,52, 0201041AFF4C0002150005000100001000800000805F9B013100067875B7,"19,7"
19/3/20, 15:12:41, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8A6D,28,61, 0201041AFF4C0002150005000100001000800000805F9B013100038A6DB2,"19,7"
