Date, Time, Type, ID0, ID1, ID2, Sensor Data, Temperature, Humidity, Raw Data,Location
16/3/20, 15:52:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8D72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038D72B9,"1,13"
16/3/20, 15:52:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B1,"1,13"
16/3/20, 15:52:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB6,"1,13"
16/3/20, 15:52:42, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7573,32.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7573B1,"1,13"
16/3/20, 15:52:43, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B9,"1,13"
16/3/20, 15:52:43, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826E,28.7,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826EB4,"1,13"
16/3/20, 15:52:44, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B1,"1,13"
16/3/20, 15:52:44, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8C72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038C72B9,"1,13"
16/3/20, 15:52:44, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B1,"1,13"
16/3/20, 15:52:44, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x956D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004956DB1,"1,13"
16/3/20, 15:52:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB6,"1,13"
16/3/20, 15:52:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B4,"1,13"
16/3/20, 15:52:45, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7B71,30.7,54, 0201041AFF4C0002150005000100001000800000805F9B0131000A7B71B1,"1,13"
16/3/20, 15:52:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826F,29.3,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826FB7,"1,13"
16/3/20, 15:52:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8C72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038C72BD,"1,13"
16/3/20, 15:52:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7574,32.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7574B2,"1,13"
16/3/20, 15:52:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B1,"1,13"
16/3/20, 15:52:46, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB1,"1,13"
16/3/20, 15:52:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB8,"1,13"
16/3/20, 15:52:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B1,"1,13"
16/3/20, 15:52:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B8,"1,13"
16/3/20, 15:52:47, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100097675B1,"1,13"
16/3/20, 15:52:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826E,28.7,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826EB1,"1,13"
16/3/20, 15:52:48, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8C72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038C72C0,"1,13"
16/3/20, 15:52:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB1,"1,13"
16/3/20, 15:52:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B1,"1,13"
16/3/20, 15:52:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB5,"1,13"
16/3/20, 15:52:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B8,"1,13"
16/3/20, 15:52:49, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B1,"1,13"
16/3/20, 15:52:50, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826F,29.3,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826FB1,"1,13"
16/3/20, 15:52:50, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8C72,31.4,62, 0201041AFF4C0002150005000100001000800000805F9B013100038C72C0,"1,13"
16/3/20, 15:52:50, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B1,"1,13"
16/3/20, 15:52:50, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7573,32.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7573B1,"1,13"
16/3/20, 15:52:51, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B1,"1,13"
16/3/20, 15:52:51, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB1,"1,13"
16/3/20, 15:52:51, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB3,"1,13"
16/3/20, 15:52:51, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B7,"1,13"
16/3/20, 15:52:52, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B1,"1,13"
16/3/20, 15:52:52, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B1,"1,13"
16/3/20, 15:52:52, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100038B72C0,"1,13"
16/3/20, 15:52:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B2,"1,13"
16/3/20, 15:52:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0006, 0x926E,28.7,65, 0201041AFF4C0002150005000100001000800000805F9B01310006926EB2,"1,13"
16/3/20, 15:52:53, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374B7,"1,13"
16/3/20, 15:52:54, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B3,"1,13"
16/3/20, 15:52:54, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100038B72BD,"1,13"
16/3/20, 15:52:54, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7573,32.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7573B4,"1,13"
16/3/20, 15:52:54, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7B71,30.7,54, 0201041AFF4C0002150005000100001000800000805F9B0131000A7B71B1,"1,13"
16/3/20, 15:52:54, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826F,29.3,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826FB6,"1,13"
16/3/20, 15:52:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B3,"1,13"
16/3/20, 15:52:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B8,"1,13"
16/3/20, 15:52:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB3,"1,13"
16/3/20, 15:52:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100097675B1,"1,13"
16/3/20, 15:52:55, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374BC,"1,13"
16/3/20, 15:52:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B4,"1,13"
16/3/20, 15:52:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7B71,30.7,54, 0201041AFF4C0002150005000100001000800000805F9B0131000A7B71B1,"1,13"
16/3/20, 15:52:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7574,32.8,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7574B5,"1,13"
16/3/20, 15:52:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100038B72BD,"1,13"
16/3/20, 15:52:56, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826F,29.3,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826FB6,"1,13"
16/3/20, 15:52:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B6,"1,13"
16/3/20, 15:52:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB4,"1,13"
16/3/20, 15:52:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7675,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100097675B1,"1,13"
16/3/20, 15:52:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0002, 0x8374,32.8,57, 0201041AFF4C0002150005000100001000800000805F9B013100028374BB,"1,13"
16/3/20, 15:52:57, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0005, 0x8A71,30.7,61, 0201041AFF4C0002150005000100001000800000805F9B013100058A71B3,"1,13"
16/3/20, 15:52:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000A, 0x7B71,30.7,54, 0201041AFF4C0002150005000100001000800000805F9B0131000A7B71B1,"1,13"
16/3/20, 15:52:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0007, 0x7274,32.8,49, 0201041AFF4C0002150005000100001000800000805F9B013100077274B3,"1,13"
16/3/20, 15:52:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000B, 0x7573,32.1,51, 0201041AFF4C0002150005000100001000800000805F9B0131000B7573B3,"1,13"
16/3/20, 15:52:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0003, 0x8B72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100038B72BE,"1,13"
16/3/20, 15:52:58, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x000C, 0x826F,29.3,57, 0201041AFF4C0002150005000100001000800000805F9B0131000C826FB5,"1,13"
16/3/20, 15:52:59, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0001, 0x8A72,31.4,61, 0201041AFF4C0002150005000100001000800000805F9B013100018A72B8,"1,13"
16/3/20, 15:52:59, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0009, 0x7575,33.5,51, 0201041AFF4C0002150005000100001000800000805F9B013100097575B1,"1,13"
16/3/20, 15:52:59, BLE Beacon, N/A, 00050001-0000-1000-8000-00805F9B0131, 0x0004, 0x946D,28,66, 0201041AFF4C0002150005000100001000800000805F9B01310004946DB4,"1,13"
