index,data,pred_location,label,error
0,[192. 189. 177. 179.   0.   0.   0.   0.   0.   0.   0.   0.],"(5.5, 2.5)","1,1",4.743416490252569
1,[193. 182. 180.   0. 177.   0.   0. 177. 177.   0. 177.   0.],"(7.0, 2.5)","1,1",6.18465843842649
2,[191. 191. 185. 184. 177. 177.   0. 177.   0. 177.   0. 177.],"(7.0, 2.5)","1,1",6.18465843842649
3,[195. 192. 184. 182. 177. 177. 177. 177.   0.   0. 177. 177.],"(5.5, 2.5)","1,1",4.743416490252569
4,[194. 193. 184. 187.   0.   0. 177. 178.   0.   0.   0. 177.],"(5.5, 2.5)","1,1",4.743416490252569
5,[194. 190. 185. 183. 177.   0. 177. 179. 177. 177. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
6,[194. 191. 188. 183. 178.   0. 177. 177. 177. 177.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
7,[193. 192. 185. 184.   0.   0. 177. 177. 177. 177.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
8,[194.   0. 180.   0. 178.   0.   0. 177. 177. 177. 177.   0.],"(8.5, 8.5)","1,1",10.606601717798213
9,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0. 177.   0.],"(4.0, 5.5)","1,1",5.408326913195984
10,[191. 184. 182. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
11,[191.   0. 185. 182.   0.   0. 179.   0.   0.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
12,[195. 193. 185. 184. 177. 177. 177. 179. 177.   0. 177. 177.],"(7.0, 2.5)","1,1",6.18465843842649
13,[195. 193. 185. 184.   0. 177. 177. 179. 177.   0.   0. 177.],"(8.5, 4.0)","1,1",8.077747210701755
14,[195. 193. 184. 185.   0. 177. 177. 179. 177. 177. 177. 177.],"(5.5, 8.5)","1,1",8.74642784226795
15,[194. 191. 184. 184. 179.   0. 177. 177. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
16,[194. 191. 184. 184. 180.   0. 177. 177. 177.   0. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
17,[194. 191. 184. 184. 177.   0. 177. 177. 177. 177.   0. 177.],"(5.5, 4.0)","1,1",5.408326913195984
18,[192. 185. 182. 180.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
19,[192. 185. 182. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
20,[192. 184. 182. 185.   0.   0. 177.   0.   0.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
21,[195. 193. 185.   0.   0. 177. 178. 179. 177.   0. 177. 177.],"(8.5, 4.0)","1,1",8.077747210701755
22,[194. 193. 185. 184. 177. 177. 178. 179. 177.   0. 177. 177.],"(7.0, 2.5)","1,1",6.18465843842649
23,[194. 193. 185. 184. 177.   0. 179. 179. 177.   0. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
24,[193. 191. 184. 184. 179.   0. 177. 177. 177. 177. 177.   0.],"(4.0, 5.5)","1,1",5.408326913195984
25,[194. 191. 184. 183.   0.   0. 177.   0. 177. 177.   0. 177.],"(5.5, 2.5)","1,1",4.743416490252569
26,[193. 192. 184. 183. 179.   0.   0. 177. 177. 177. 177. 177.],"(7.0, 5.5)","1,1",7.5
27,[191. 185. 182. 182. 177.   0. 177. 177. 177.   0. 177.   0.],"(4.0, 5.5)","1,1",5.408326913195984
28,[192. 185. 181. 182.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
29,[192. 184. 181. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
30,[195. 193. 185. 184. 177. 177.   0.   0. 177.   0.   0. 177.],"(8.5, 4.0)","1,1",8.077747210701755
31,[195. 193. 185. 185. 177. 177. 178. 180.   0.   0. 177.   0.],"(5.5, 4.0)","1,1",5.408326913195984
32,[195. 192. 185. 185.   0. 177. 179. 180.   0.   0. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
33,[194. 191.   0. 182. 177.   0. 177. 179. 177.   0.   0. 177.],"(4.0, 5.5)","1,1",5.408326913195984
34,[194. 192. 185.   0. 179.   0. 177. 177. 177. 177. 177. 177.],"(7.0, 5.5)","1,1",7.5
35,[194.   0. 185. 184.   0.   0. 177. 177. 177.   0.   0. 177.],"(4.0, 5.5)","1,1",5.408326913195984
36,[194. 191. 184. 184. 178.   0. 177. 177. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
37,[192. 185. 183. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
38,[191. 184. 182. 181.   0.   0.   0.   0. 177.   0.   0.   0.],"(5.5, 2.5)","1,1",4.743416490252569
39,[191. 184. 182. 181.   0. 177. 178.   0. 177.   0.   0.   0.],"(5.5, 2.5)","1,1",4.743416490252569
40,[195. 193. 185. 184.   0. 177. 179. 179.   0.   0. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
41,[195. 193. 184. 183. 177.   0. 178.   0. 177. 177. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
42,[194. 193. 184. 183.   0.   0. 179. 178. 177.   0.   0. 177.],"(5.5, 4.0)","1,1",5.408326913195984
43,[  0. 191. 182. 184. 178.   0. 177. 177. 177. 177. 177. 177.],"(5.5, 17.5)","1,1",17.10263137648707
44,[193. 191. 184. 184. 177.   0. 177. 177.   0. 177.   0. 177.],"(5.5, 2.5)","1,1",4.743416490252569
45,[193. 191. 184.   0.   0.   0.   0.   0.   0.   0.   0. 177.],"(7.0, 2.5)","1,1",6.18465843842649
46,[191. 185. 182. 183. 177.   0. 177. 177. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
47,[192. 184. 182.   0. 177.   0.   0.   0. 177.   0.   0.   0.],"(7.0, 2.5)","1,1",6.18465843842649
48,[191. 185. 182.   0. 177.   0. 177. 177.   0.   0.   0.   0.],"(5.5, 2.5)","1,1",4.743416490252569
49,[195. 193. 184. 185.   0. 177. 177. 181. 177.   0.   0. 177.],"(8.5, 4.0)","1,1",8.077747210701755
50,[194. 193. 185. 183. 177. 177. 177. 178. 177.   0. 177. 177.],"(7.0, 2.5)","1,1",6.18465843842649
51,[195. 193. 184. 183. 177. 177. 177.   0. 177.   0. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
52,[194. 192. 184. 184. 181.   0. 177.   0. 177. 177.   0. 177.],"(5.5, 4.0)","1,1",5.408326913195984
53,[193. 191. 184. 184.   0.   0. 177.   0. 177. 177. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
54,[193. 191.   0.   0. 178.   0. 177. 177. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
55,[191. 184. 182. 180. 177.   0. 177. 177. 177. 177.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
56,[191. 185. 182. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
57,[190. 184. 181. 181. 177.   0. 177.   0.   0.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
58,[195.   0. 184. 185. 177. 177. 178.   0. 177. 177. 177.   0.],"(4.0, 5.5)","1,1",5.408326913195984
59,[194. 192. 185. 185. 177.   0. 178. 180. 177.   0. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
60,[194. 192. 184.   0.   0. 177. 179. 179. 177.   0.   0. 177.],"(8.5, 4.0)","1,1",8.077747210701755
61,[195. 193. 184. 184. 177.   0. 177. 180.   0.   0. 177. 177.],"(5.5, 2.5)","1,1",4.743416490252569
62,[193. 191. 184. 184. 180.   0. 177. 177. 177. 177. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
63,[194. 191. 184. 185.   0.   0. 177. 177. 177. 177.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
64,[193. 191. 185. 185. 179.   0. 177. 177. 177. 177.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
65,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
66,[191. 185. 182. 180. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
67,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
68,[194. 193. 184. 182.   0. 177. 178. 179. 177.   0. 177. 177.],"(7.0, 7.0)","1,1",8.48528137423857
69,[194. 190. 185. 184. 177. 177. 177. 179. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
70,[194. 193. 184. 185.   0.   0. 178. 179.   0.   0. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
71,[193. 191. 184. 184. 177.   0. 177. 177.   0. 177. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
72,[194. 191. 185. 184. 180.   0. 177. 177. 177.   0. 177. 177.],"(5.5, 4.0)","1,1",5.408326913195984
73,[194. 192. 184.   0. 180.   0. 177. 177. 177. 177.   0. 177.],"(7.0, 2.5)","1,1",6.18465843842649
74,[191. 184. 181. 182.   0.   0. 177.   0. 177.   0.   0.   0.],"(4.0, 5.5)","1,1",5.408326913195984
75,[192. 184. 182. 182. 177.   0. 177. 177. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
76,[191. 184. 182. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
77,[194. 193. 184. 183.   0. 177. 177. 177. 177.   0. 177. 177.],"(7.0, 7.0)","1,1",8.48528137423857
78,[195. 193. 184. 184. 177. 177. 177. 179. 177.   0. 177. 177.],"(7.0, 2.5)","1,1",6.18465843842649
79,[195. 193. 185. 183. 177. 177. 179. 179.   0.   0. 177. 177.],"(5.5, 2.5)","1,1",4.743416490252569
80,[193. 192. 184. 184. 179.   0. 177. 179. 177. 177. 177. 177.],"(4.0, 5.5)","1,1",5.408326913195984
81,[193. 192. 184. 184.   0.   0. 177. 177. 177. 177.   0. 177.],"(5.5, 4.0)","1,1",5.408326913195984
82,[194.   0. 184. 185. 180.   0. 177. 177. 177. 177.   0. 177.],"(4.0, 5.5)","1,1",5.408326913195984
83,[192. 191. 181. 182. 177.   0. 177. 177. 177. 177.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
84,[191. 185. 180. 182.   0.   0.   0.   0. 177.   0.   0.   0.],"(5.5, 2.5)","1,1",4.743416490252569
85,[191. 184.   0. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(5.5, 4.0)","1,1",5.408326913195984
