index,data,pred_location,label,error
0,[192. 189. 177. 179.   0.   0.   0.   0.   0.   0.   0.   0.],"(9.827815724391543, 6.987884480900149)","1,1",10.667009469407038
1,[193. 182. 180.   0. 177.   0.   0. 177. 177.   0. 177.   0.],"(9.795883728103147, 7.009036998879196)","1,1",10.652515956909374
2,[191. 191. 185. 184. 177. 177.   0. 177.   0. 177.   0. 177.],"(9.657399239555048, 7.002675582973236)","1,1",10.534831548129823
3,[195. 192. 184. 182. 177. 177. 177. 177.   0.   0. 177. 177.],"(9.582943894487212, 6.977433244662045)","1,1",10.459284587882019
4,[194. 193. 184. 187.   0.   0. 177. 178.   0.   0.   0. 177.],"(9.790283469061658, 6.976032198535401)","1,1",10.629301214303343
5,[194. 190. 185. 183. 177.   0. 177. 179. 177. 177. 177. 177.],"(9.491920478618287, 6.919591399273169)","1,1",10.351534946544184
6,[194. 191. 188. 183. 178.   0. 177. 177. 177. 177.   0.   0.],"(9.672705136307663, 6.956166396025649)","1,1",10.521013854115129
7,[193. 192. 185. 184.   0.   0. 177. 177. 177. 177.   0.   0.],"(9.756010283425942, 6.963110536347963)","1,1",10.593696397016716
8,[194.   0. 180.   0. 178.   0.   0. 177. 177. 177. 177.   0.],"(9.848421548649307, 6.99846614783545)","1,1",10.690002807732526
9,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0. 177.   0.],"(9.80144432315201, 6.976965535331798)","1,1",10.63905725071958
10,[191. 184. 182. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(9.759508630283655, 6.9820268328414)","1,1",10.607244527814391
11,[191.   0. 185. 182.   0.   0. 179.   0.   0.   0.   0.   0.],"(9.86133224116429, 6.976169217327453)","1,1",10.688208811696652
12,[195. 193. 185. 184. 177. 177. 177. 179. 177.   0. 177. 177.],"(9.396653315746704, 7.013297340080985)","1,1",10.327803822936664
13,[195. 193. 185. 184.   0. 177. 177. 179. 177.   0.   0. 177.],"(9.690708928035765, 7.007678709210985)","1,1",10.565066263159334
14,[195. 193. 184. 185.   0. 177. 177. 179. 177. 177. 177. 177.],"(9.499542390675922, 6.978798290979012)","1,1",10.39173950092623
15,[194. 191. 184. 184. 179.   0. 177. 177. 177.   0.   0.   0.],"(9.721830298473698, 6.973886010349561)","1,1",10.571548506251295
16,[194. 191. 184. 184. 180.   0. 177. 177. 177.   0. 177. 177.],"(9.643338137993059, 6.971056446065706)","1,1",10.505275305758918
17,[194. 191. 184. 184. 177.   0. 177. 177. 177. 177.   0. 177.],"(9.607165335673534, 6.964623932907012)","1,1",10.471868685990442
18,[192. 185. 182. 180.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.802619313010686, 6.9830785445080945)","1,1",10.643464456629797
19,[192. 185. 182. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(9.758035767535588, 6.981898023629591)","1,1",10.605955613264479
20,[192. 184. 182. 185.   0.   0. 177.   0.   0.   0.   0.   0.],"(9.816167490566096, 6.975363746452168)","1,1",10.650341831327735
21,[195. 193. 185.   0.   0. 177. 178. 179. 177.   0. 177. 177.],"(9.749745041679738, 7.033848280502279)","1,1",10.62851651767637
22,[194. 193. 185. 184. 177. 177. 178. 179. 177.   0. 177. 177.],"(9.39988694781748, 7.013285921849822)","1,1",10.330426337476673
23,[194. 193. 185. 184. 177.   0. 179. 179. 177.   0. 177. 177.],"(9.643417722943136, 6.970766514648507)","1,1",10.505175995942924
24,[193. 191. 184. 184. 179.   0. 177. 177. 177. 177. 177.   0.],"(9.624767517082907, 6.92869936714318)","1,1",10.465949116525094
25,[194. 191. 184. 183.   0.   0. 177.   0. 177. 177.   0. 177.],"(9.767608364428556, 6.9823560730925225)","1,1",10.61411987011945
26,[193. 192. 184. 183. 179.   0.   0. 177. 177. 177. 177. 177.],"(9.64827167763759, 6.991246742952283)","1,1",10.520819385635551
27,[191. 185. 182. 182. 177.   0. 177. 177. 177.   0. 177.   0.],"(9.705047867370409, 6.96080089284499)","1,1",10.550308320487687
28,[192. 185. 181. 182.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.802731798180977, 6.982861423802535)","1,1",10.64343543819997
29,[192. 184. 181. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(9.758417312753885, 6.981920430604732)","1,1",10.606283319920946
30,[195. 193. 185. 184. 177. 177.   0.   0. 177.   0.   0. 177.],"(9.705418480448426, 7.030694891648894)","1,1",10.59025928841655
31,[195. 193. 185. 185. 177. 177. 178. 180.   0.   0. 177.   0.],"(9.65667709618392, 6.964401064965226)","1,1",10.51247537030901
32,[195. 192. 185. 185.   0. 177. 179. 180.   0.   0. 177. 177.],"(9.714575198387534, 6.980713936709055)","1,1",10.569425721442819
33,[194. 191.   0. 182. 177.   0. 177. 179. 177.   0.   0. 177.],"(9.796158757031716, 6.977476698100799)","1,1",10.634972334484173
34,[194. 192. 185.   0. 179.   0. 177. 177. 177. 177. 177. 177.],"(9.690657001403462, 7.003162214904319)","1,1",10.562455949943551
35,[194.   0. 185. 184.   0.   0. 177. 177. 177.   0.   0. 177.],"(9.845662216949918, 6.986012534165482)","1,1",10.680734343459799
36,[194. 191. 184. 184. 178.   0. 177. 177. 177.   0.   0.   0.],"(9.721900517448818, 6.973868974725657)","1,1",10.571596812377198
37,[192. 185. 183. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.80245555604694, 6.98304101989532)","1,1",10.64330792854983
38,[191. 184. 182. 181.   0.   0.   0.   0. 177.   0.   0.   0.],"(9.818529891056327, 6.995926951835699)","1,1",10.663845903387935
39,[191. 184. 182. 181.   0. 177. 178.   0. 177.   0.   0.   0.],"(9.762729147724665, 6.995250341526821)","1,1",10.617365434699932
40,[195. 193. 185. 184.   0. 177. 179. 179.   0.   0. 177. 177.],"(9.714154368752924, 6.980947522182555)","1,1",10.56921092729052
41,[195. 193. 184. 183. 177.   0. 178.   0. 177. 177. 177. 177.],"(9.635728642231744, 6.964979102858585)","1,1",10.495560246113655
42,[194. 193. 184. 183.   0.   0. 179. 178. 177.   0.   0. 177.],"(9.766728146413465, 6.986856471808978)","1,1",10.615930143287452
43,[  0. 191. 182. 184. 178.   0. 177. 177. 177. 177. 177. 177.],"(10.622486430326905, 6.974579330472819)","1,1",11.326422351207748
44,[193. 191. 184. 184. 177.   0. 177. 177.   0. 177.   0. 177.],"(9.68904774662859, 6.954584769653415)","1,1",10.533595327435918
45,[193. 191. 184.   0.   0.   0.   0.   0.   0.   0.   0. 177.],"(9.846983598619099, 7.0079023525332556)","1,1",10.694110971549247
46,[191. 185. 182. 183. 177.   0. 177. 177. 177.   0.   0.   0.],"(9.728101203714283, 6.973842071202608)","1,1",10.57669795890707
47,[192. 184. 182.   0. 177.   0.   0.   0. 177.   0.   0.   0.],"(9.81350205174986, 7.010723968250324)","1,1",10.668018608846626
48,[191. 185. 182.   0. 177.   0. 177. 177.   0.   0.   0.   0.],"(9.79851096899555, 6.986851190325648)","1,1",10.642188799614422
49,[195. 193. 184. 185.   0. 177. 177. 181. 177.   0.   0. 177.],"(9.691294831180691, 7.007364724881622)","1,1",10.56536969444327
50,[194. 193. 185. 183. 177. 177. 177. 178. 177.   0. 177. 177.],"(9.399055119489331, 7.014220135937797)","1,1",10.330293836272984
51,[195. 193. 184. 183. 177. 177. 177.   0. 177.   0. 177. 177.],"(9.582448729433727, 7.017585594023698)","1,1",10.481877817202419
52,[194. 192. 184. 184. 181.   0. 177.   0. 177. 177.   0. 177.],"(9.687010512261788, 6.980690970467791)","1,1",10.546696929578557
53,[193. 191. 184. 184.   0.   0. 177.   0. 177. 177. 177. 177.],"(9.75669112702208, 6.972331265603048)","1,1",10.599451883949799
54,[193. 191.   0.   0. 178.   0. 177. 177. 177.   0.   0.   0.],"(9.836968501731425, 6.989697663806064)","1,1",10.675602578046691
55,[191. 184. 182. 180. 177.   0. 177. 177. 177. 177.   0.   0.],"(9.681782205138417, 6.955939027632658)","1,1",10.52836891253037
56,[191. 185. 182. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.803718132346678, 6.98303527341994)","1,1",10.644348924983476
57,[190. 184. 181. 181. 177.   0. 177.   0.   0.   0.   0.   0.],"(9.782635037556364, 6.9737153709106545)","1,1",10.62167376337491
58,[195.   0. 184. 185. 177. 177. 178.   0. 177. 177. 177.   0.],"(9.74587534877597, 6.973900266376661)","1,1",10.591403118045424
59,[194. 192. 185. 185. 177.   0. 178. 180. 177.   0. 177. 177.],"(9.643845550980478, 6.970605098134461)","1,1",10.505436266384859
60,[194. 192. 184.   0.   0. 177. 179. 179. 177.   0.   0. 177.],"(9.764147645132871, 7.029152706021466)","1,1",10.637714336182093
61,[195. 193. 184. 184. 177.   0. 177. 180.   0.   0. 177. 177.],"(9.709424965966269, 6.95971843885368)","1,1",10.55330882274413
62,[193. 191. 184. 184. 180.   0. 177. 177. 177. 177. 177. 177.],"(9.493488795997438, 6.919485960461517)","1,1",10.352761272425585
63,[194. 191. 184. 185.   0.   0. 177. 177. 177. 177.   0.   0.],"(9.754914130226426, 6.962840567003471)","1,1",10.59263843691177
64,[193. 191. 185. 185. 179.   0. 177. 177. 177. 177.   0.   0.],"(9.675126236216224, 6.955618138484862)","1,1",10.522699398240784
65,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.803865466304767, 6.982987974797284)","1,1",10.644444196639041
66,[191. 185. 182. 180. 177.   0. 177.   0. 177.   0.   0.   0.],"(9.75934246521272, 6.9821514350958065)","1,1",10.607177580077447
67,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0. 177. 177.],"(9.792805895221438, 6.987502026001848)","1,1",10.63783887932211
68,[194. 193. 184. 182.   0. 177. 178. 179. 177.   0. 177. 177.],"(9.65091385055137, 7.003638919164975)","1,1",10.530051791011
69,[194. 190. 185. 184. 177. 177. 177. 179. 177.   0.   0.   0.],"(9.636870975480948, 6.991078126053954)","1,1",10.511353735822393
70,[194. 193. 184. 185.   0.   0. 178. 179.   0.   0. 177. 177.],"(9.785529180373187, 6.966876298963274)","1,1",10.620222961233837
71,[193. 191. 184. 184. 177.   0. 177. 177.   0. 177. 177. 177.],"(9.641996504354237, 6.927053081473916)","1,1",10.479220477300796
72,[194. 191. 185. 184. 180.   0. 177. 177. 177.   0. 177. 177.],"(9.642936909383208, 6.9711985138256605)","1,1",10.50502594528411
73,[194. 192. 184.   0. 180.   0. 177. 177. 177. 177.   0. 177.],"(9.721543982101599, 7.006338364832609)","1,1",10.589685074854335
74,[191. 184. 181. 182.   0.   0. 177.   0. 177.   0.   0.   0.],"(9.804007735861823, 6.982885046708667)","1,1",10.644504013585838
75,[192. 184. 182. 182. 177.   0. 177. 177. 177.   0.   0.   0.],"(9.726880503193266, 6.9738785519967434)","1,1",10.575711241851371
76,[191. 184. 182. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(9.759489757593627, 6.981924818769096)","1,1",10.607171411398674
77,[194. 193. 184. 183.   0. 177. 177. 177. 177.   0. 177. 177.],"(9.650225078195437, 7.003660915777885)","1,1",10.529498482600212
78,[195. 193. 184. 184. 177. 177. 177. 179. 177.   0. 177. 177.],"(9.397415448063693, 7.013007336204091)","1,1",10.328254616953583
