index,data,pred_location,label,error
0,[192. 189. 177. 179.   0.   0.   0.   0.   0.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
1,[193. 182. 180.   0. 177.   0.   0. 177. 177.   0. 177.   0.],"(10.0, 7.0)","1,1",10.816653826391969
2,[191. 191. 185. 184. 177. 177.   0. 177.   0. 177.   0. 177.],"(10.0, 7.0)","1,1",10.816653826391969
3,[195. 192. 184. 182. 177. 177. 177. 177.   0.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
4,[194. 193. 184. 187.   0.   0. 177. 178.   0.   0.   0. 177.],"(10.0, 7.0)","1,1",10.816653826391969
5,[194. 190. 185. 183. 177.   0. 177. 179. 177. 177. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
6,[194. 191. 188. 183. 178.   0. 177. 177. 177. 177.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
7,[193. 192. 185. 184.   0.   0. 177. 177. 177. 177.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
8,[194.   0. 180.   0. 178.   0.   0. 177. 177. 177. 177.   0.],"(10.0, 7.0)","1,1",10.816653826391969
9,[191. 185. 181. 181.   0.   0. 177.   0. 177.   0. 177.   0.],"(10.0, 7.0)","1,1",10.816653826391969
10,[191. 184. 182. 181. 177.   0. 177.   0. 177.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
11,[191.   0. 185. 182.   0.   0. 179.   0.   0.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
12,[195. 193. 185. 184. 177. 177. 177. 179. 177.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
13,[195. 193. 185. 184.   0. 177. 177. 179. 177.   0.   0. 177.],"(10.0, 7.0)","1,1",10.816653826391969
14,[195. 193. 184. 185.   0. 177. 177. 179. 177. 177. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
15,[194. 191. 184. 184. 179.   0. 177. 177. 177.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
16,[194. 191. 184. 184. 180.   0. 177. 177. 177.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
17,[194. 191. 184. 184. 177.   0. 177. 177. 177. 177.   0. 177.],"(10.0, 7.0)","1,1",10.816653826391969
18,[192. 185. 182. 180.   0.   0. 177.   0. 177.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
19,[192. 185. 182. 182. 177.   0. 177.   0. 177.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
20,[192. 184. 182. 185.   0.   0. 177.   0.   0.   0.   0.   0.],"(10.0, 7.0)","1,1",10.816653826391969
21,[195. 193. 185.   0.   0. 177. 178. 179. 177.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
22,[194. 193. 185. 184. 177. 177. 178. 179. 177.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
23,[194. 193. 185. 184. 177.   0. 179. 179. 177.   0. 177. 177.],"(10.0, 7.0)","1,1",10.816653826391969
24,[193. 191. 184. 184. 179.   0. 177. 177. 177. 177. 177.   0.],"(10.0, 7.0)","1,1",10.816653826391969
