index,data,label,vote_result,prediction
0,[ 0  0  0 98  0  0 95 95  0  0  0  0],[3],3,CORRECT
1,[ 0 89 95 75 72  0  0  0  0 88  0 93],[4],5,WRONG
2,[ 0  0  0  0 73  0  0  0  0 95 80 82],[5],4,WRONG
3,[86  0 87  0 74  0  0 93  0 92 80  0],[5],4,WRONG
4,[ 0 81  0 81 79 83 77 85  0 91 92  0],[5],1,WRONG
5,[93 89  0  0 76  0  0 84  0  0 87 92],[4],1,WRONG
6,[86 81 97 83 74 77 80 79 85 89 80 90],[5],4,WRONG
7,[ 0 77 87  0 79  0  0 84  0  0 93 88],[5],3,WRONG
8,[65 89 81  0 90  0 93  0  0  0  0  0],[1],5,WRONG
9,[ 91   0   0   0  81  87  90  85   0 101   0  82],[2],5,WRONG
10,[87  0  0  0 79 82 80  0  0 96 93  0],[5],4,WRONG
11,[ 0  0 72  0  0  0 89 88 93  0  0  0],[3],3,CORRECT
12,[ 0 95  0  0 86  0  0  0  0  0 91 89],[3],1,WRONG
13,[60  0  0  0 88  0  0  0 97  0  0  0],[1],2,WRONG
14,[ 0 93  0  0  0 91  0  0  0  0  0 88],[3],2,WRONG
15,[85 91 72 94 92  0 97 94 98  0 91  0],[3],2,WRONG
16,[ 0 96 80  0 86  0  0 95  0  0  0 89],[3],3,CORRECT
17,[87 75  0  0  0 88 95  0 96 99 88  0],[2],5,WRONG
18,[ 0 95  0  0 69  0 82  0  0 93  0  0],[4],4,CORRECT
19,[68  0  0  0 91  0 90  0  0  0 94  0],[1],1,CORRECT
20,[ 0  0 72  0  0  0  0 88 92  0 87  0],[3],3,CORRECT
21,[ 0 78  0 92 84 90 99 91  0  0 95 91],[2],3,WRONG
22,[ 0  0  0 93  0 92  0  0 93  0  0 90],[3],3,CORRECT
23,[87 76 87 78 74 80  0 85 87 95 80 81],[5],4,WRONG
24,[ 0  0 83  0 84  0  0  0 87 93 89  0],[4],5,WRONG
25,[87 77 87  0 79  0 81  0 86  0 92  0],[5],5,CORRECT
26,[ 0 75  0  0 73 80 80 93 86 92 80  0],[5],5,CORRECT
27,[ 0 82  0  0  0  0 93 93  0 98  0  0],[1],1,CORRECT
28,[ 0  0  0  0 79 82 80  0 86 95 92 88],[5],4,WRONG
29,[88 87 72 97 95 86  0 96 97  0  0 95],[2],3,WRONG
30,[90 74  0 92 80 87 98  0  0  0  0 82],[2],1,WRONG
31,[ 0 82  0 81  0  0  0 91  0  0 98  0],[1],3,WRONG
32,[ 0  0  0 89 85  0 99  0  0  0 95 91],[2],1,WRONG
33,[ 0  0  0  0  0 87  0  0  0  0  0  0],[1],2,WRONG
34,[89  0  0  0  0 86  0  0  0  0 91 82],[2],2,CORRECT
35,[68  0  0 80 89  0  0 96  0  0  0  0],[1],2,WRONG
36,[89 81  0  0  0  0  0  0  0  0  0  0],[2],1,WRONG
37,[60 90 78  0 88 87  0 97  0  0  0 97],[1],3,WRONG
38,[91  0  0 90 82  0  0  0 94  0  0  0],[2],2,CORRECT
39,[ 84  74   0   0   0   0  90  85  95 100  92  82],[2],5,WRONG
40,[91  0 71  0  0  0 89 85 93  0 90  0],[2],3,WRONG
41,[60  0 78  0 88 93  0  0  0  0  0 96],[1],1,CORRECT
42,[83  0 77  0  0  0  0  0  0  0  0  0],[2],2,CORRECT
43,[ 0  0 96  0 72  0 86 84 88  0  0  0],[4],5,WRONG
44,[  0  82  78  88   0  91   0   0   0 100   0   0],[1],1,CORRECT
45,[86 80 87 77 74 80 81  0 87 96 84 82],[5],5,CORRECT
46,[  0   0   0  93   0  83  89   0  92 102  87  89],[3],4,WRONG
47,[ 60  83  82  89  87  87 102  95   0   0  95   0],[1],2,WRONG
48,[ 0  0  0 96  0 91  0  0  0  0 88  0],[3],3,CORRECT
49,[  0  93   0 100   0   0   0  95   0   0  89   0],[3],3,CORRECT
50,[ 0 76  0 77 77  0  0 93  0 92 80  0],[5],4,WRONG
51,[ 0  0 87  0 77  0 78 85 86 91 84 90],[5],4,WRONG
52,[ 0  0 96 76 72  0  0 84  0 88  0  0],[4],4,CORRECT
53,[ 0  0  0 94  0 83 89  0 92  0 86 89],[3],3,CORRECT
54,[86  0  0  0 73 80 78  0  0 92 80  0],[5],4,WRONG
55,[ 0 77  0 81 79 82 80  0  0  0 80  0],[5],3,WRONG
56,[65  0 81  0 91 93 91  0  0  0  0 95],[1],3,WRONG
57,[ 60  82   0  89   0   0 100   0   0   0  98   0],[1],2,WRONG
58,[ 0  0  0  0 79 82 80  0 86 95 92 88],[5],4,WRONG
59,[ 0  0 72 96  0  0 95 88 94  0 89 89],[3],3,CORRECT
60,[  0   0   0  81  79   0   0   0 101   0  92   0],[5],5,CORRECT
61,[ 0 89  0 75 72  0 86  0 88  0  0 92],[4],4,CORRECT
62,[  0   0   0   0  69   0  81  89  87 101   0   0],[4],4,CORRECT
63,[ 0  0  0  0  0  0 97 98  0  0  0 99],[1],2,WRONG
64,[88 78  0  0  0 92  0  0  0  0 88 91],[2],2,CORRECT
65,[84  0 72  0 99  0 95  0  0  0 89 89],[3],3,CORRECT
66,[ 0  0  0  0 74 80 78  0 86 95  0 81],[5],4,WRONG
67,[ 0  0  0 92 96 85  0 85  0  0  0 91],[2],2,CORRECT
68,[ 0  0  0  0 69  0  0  0 92 94  0  0],[4],5,WRONG
69,[ 0 87 83  0 69  0 82  0  0  0  0  0],[4],4,CORRECT
