DatetimeSec,Location,1,2,3,4,5,6,7,8,9,10,11,12
0.0,"10,4",182.0,187.0,194.0,183.0,0.0,187.0,177.0,179.0,0.0,0.0,177.0,179.0
1.0,"10,4",177.0,186.0,194.0,0.0,185.0,184.0,0.0,178.0,178.0,0.0,177.0,189.0
2.0,"10,4",180.0,182.0,193.0,178.0,181.0,177.0,0.0,180.0,177.0,0.0,177.0,187.0
3.0,"10,4",179.0,185.0,191.0,0.0,185.0,189.0,177.0,177.0,179.0,177.0,178.0,187.0
4.0,"10,4",177.0,178.0,191.0,177.0,0.0,188.0,177.0,177.0,182.0,0.0,178.0,188.0
5.0,"10,4",177.0,180.0,191.0,177.0,185.0,188.0,177.0,177.0,181.0,0.0,178.0,187.0
6.0,"10,4",177.0,181.0,193.0,177.0,181.0,188.0,177.0,177.0,182.0,177.0,177.0,186.0
7.0,"10,4",183.0,185.0,193.0,181.0,0.0,193.0,178.0,177.0,189.0,177.0,177.0,187.0
8.0,"10,4",184.0,185.0,193.0,181.0,181.0,193.0,178.0,177.0,189.0,0.0,0.0,186.0
9.0,"10,4",184.0,185.0,0.0,180.0,181.0,193.0,178.0,177.0,188.0,177.0,177.0,189.0
10.0,"10,4",178.0,184.0,0.0,0.0,185.0,190.0,177.0,177.0,180.0,0.0,177.0,188.0
11.0,"10,4",179.0,184.0,193.0,0.0,0.0,189.0,177.0,177.0,180.0,0.0,177.0,188.0
12.0,"10,4",178.0,184.0,193.0,0.0,187.0,191.0,177.0,0.0,179.0,0.0,177.0,189.0
13.0,"10,4",177.0,179.0,191.0,177.0,185.0,188.0,0.0,177.0,181.0,0.0,177.0,187.0
14.0,"10,4",177.0,0.0,191.0,177.0,185.0,187.0,177.0,177.0,181.0,0.0,177.0,187.0
15.0,"10,4",177.0,178.0,192.0,177.0,0.0,188.0,177.0,177.0,181.0,0.0,177.0,187.0
16.0,"10,4",183.0,185.0,193.0,179.0,179.0,193.0,179.0,177.0,189.0,177.0,0.0,185.0
17.0,"10,4",183.0,185.0,193.0,180.0,180.0,193.0,178.0,177.0,188.0,177.0,0.0,186.0
18.0,"10,4",183.0,184.0,193.0,0.0,181.0,193.0,178.0,177.0,188.0,177.0,0.0,185.0
19.0,"10,4",178.0,184.0,192.0,179.0,0.0,190.0,177.0,177.0,179.0,0.0,177.0,188.0
20.0,"10,4",179.0,184.0,193.0,0.0,187.0,189.0,177.0,0.0,180.0,0.0,177.0,188.0
21.0,"10,4",179.0,183.0,193.0,0.0,185.0,189.0,177.0,177.0,179.0,0.0,177.0,188.0
22.0,"10,4",177.0,179.0,191.0,0.0,0.0,188.0,0.0,177.0,179.0,0.0,177.0,187.0
23.0,"10,4",177.0,180.0,191.0,177.0,185.0,188.0,177.0,177.0,182.0,0.0,177.0,0.0
24.0,"10,4",177.0,179.0,191.0,177.0,185.0,188.0,177.0,0.0,182.0,0.0,177.0,188.0
25.0,"10,4",0.0,184.0,193.0,177.0,181.0,193.0,177.0,0.0,183.0,177.0,178.0,187.0
26.0,"10,4",184.0,185.0,193.0,179.0,0.0,193.0,179.0,177.0,188.0,177.0,177.0,187.0
27.0,"10,4",184.0,185.0,193.0,180.0,180.0,193.0,179.0,177.0,188.0,177.0,0.0,186.0
28.0,"10,4",183.0,184.0,193.0,180.0,181.0,193.0,179.0,177.0,188.0,0.0,177.0,186.0
29.0,"10,4",179.0,183.0,193.0,0.0,185.0,190.0,177.0,177.0,179.0,0.0,177.0,188.0
30.0,"10,4",177.0,184.0,193.0,0.0,0.0,189.0,177.0,177.0,179.0,0.0,177.0,188.0
31.0,"10,4",178.0,179.0,193.0,0.0,185.0,189.0,177.0,177.0,179.0,0.0,177.0,188.0
32.0,"10,4",177.0,179.0,192.0,177.0,185.0,187.0,177.0,177.0,181.0,177.0,177.0,187.0
33.0,"10,4",177.0,0.0,191.0,177.0,185.0,188.0,177.0,177.0,181.0,177.0,177.0,188.0
34.0,"10,4",177.0,179.0,192.0,177.0,0.0,188.0,178.0,177.0,182.0,177.0,177.0,187.0
35.0,"10,4",184.0,185.0,193.0,180.0,181.0,193.0,179.0,177.0,188.0,177.0,177.0,186.0
36.0,"10,4",184.0,185.0,193.0,180.0,180.0,193.0,179.0,177.0,189.0,177.0,177.0,186.0
37.0,"10,4",183.0,184.0,193.0,180.0,0.0,193.0,179.0,177.0,188.0,177.0,0.0,186.0
38.0,"10,4",0.0,184.0,193.0,0.0,185.0,190.0,177.0,0.0,179.0,0.0,177.0,188.0
39.0,"10,4",178.0,184.0,193.0,0.0,0.0,190.0,177.0,177.0,179.0,0.0,177.0,188.0
40.0,"10,4",178.0,183.0,193.0,0.0,185.0,190.0,0.0,177.0,180.0,0.0,177.0,188.0
41.0,"10,4",177.0,179.0,191.0,177.0,0.0,189.0,177.0,177.0,0.0,177.0,178.0,188.0
42.0,"10,4",0.0,180.0,0.0,0.0,184.0,188.0,177.0,177.0,181.0,0.0,177.0,187.0
43.0,"10,4",0.0,179.0,191.0,177.0,185.0,189.0,177.0,177.0,182.0,177.0,177.0,187.0
44.0,"10,4",183.0,185.0,191.0,180.0,181.0,193.0,179.0,177.0,189.0,177.0,178.0,187.0
45.0,"10,4",183.0,185.0,193.0,180.0,0.0,193.0,178.0,177.0,188.0,177.0,0.0,186.0
46.0,"10,4",183.0,185.0,193.0,180.0,181.0,193.0,180.0,0.0,189.0,177.0,177.0,0.0
47.0,"10,4",178.0,184.0,193.0,0.0,185.0,189.0,177.0,177.0,188.0,0.0,177.0,188.0
48.0,"10,4",177.0,184.0,193.0,0.0,185.0,190.0,177.0,178.0,180.0,0.0,177.0,188.0
49.0,"10,4",177.0,184.0,193.0,0.0,0.0,190.0,177.0,177.0,180.0,0.0,177.0,188.0
