index,data,pred_location,label,error
0,[182. 187. 194. 183.   0. 187. 177. 179.   0.   0. 177. 179.],"(2.7477983552827636, 8.151967481328088)","4,10",2.2323156472823023
1,[177. 186. 194.   0. 185. 184.   0. 178. 178.   0. 177. 189.],"(7.350508201338333, 12.90974869510598)","4,10",4.437628046142036
2,[180. 182. 193. 178. 181. 177.   0. 180. 177.   0. 177. 187.],"(6.36787871412351, 10.928366769753257)","4,10",2.5433667576622336
3,[179. 185. 191.   0. 185. 189. 177. 177. 179. 177. 178. 187.],"(5.574231729595419, 6.624818859859113)","4,10",3.7242520413134934
4,[177. 178. 191. 177.   0. 188. 177. 177. 182.   0. 178. 188.],"(4.111118237315029, 9.464706145343577)","4,10",0.5467053808926076
5,[177. 180. 191. 177. 185. 188. 177. 177. 181.   0. 178. 187.],"(3.327198580284058, 9.327198580284058)","4,10",0.9514848925461582
6,[177. 181. 193. 177. 181. 188. 177. 177. 182. 177. 177. 186.],"(3.86425304509333, 9.864253045093331)","4,10",0.19197518467986055
7,[183. 185. 193. 181.   0. 193. 178. 177. 189. 177. 177. 187.],"(6.648540284508862, 11.04535397940699)","4,10",2.8473725750116223
8,[184. 185. 193. 181. 181. 193. 178. 177. 189.   0.   0. 186.],"(4.940574587643265, 7.9886166215235)","4,10",2.220437715886631
9,[184. 185.   0. 180. 181. 193. 178. 177. 188. 177. 177. 189.],"(7.584024784847598, 7.886308005722225)","4,10",4.160880616537301
10,[178. 184.   0.   0. 185. 190. 177. 177. 180.   0. 177. 188.],"(2.2505591197431776, 7.280564229828128)","4,10",3.2335544377053633
11,[179. 184. 193.   0.   0. 189. 177. 177. 180.   0. 177. 188.],"(5.483772588010413, 9.47644626904073)","4,10",1.573432426935612
12,[178. 184. 193.   0. 187. 191. 177.   0. 179.   0. 177. 189.],"(3.877392659758037, 8.316988116906913)","4,10",1.6874719430300902
13,[177. 179. 191. 177. 185. 188.   0. 177. 181.   0. 177. 187.],"(7.1862043042419295, 12.227152982562755)","4,10",3.8874295204039355
14,[177.   0. 191. 177. 185. 187. 177. 177. 181.   0. 177. 187.],"(3.2057093320284142, 7.176660173629197)","4,10",2.932941431464028
15,[177. 178. 192. 177.   0. 188. 177. 177. 181.   0. 177. 187.],"(3.8823130011966684, 9.425454210975467)","4,10",0.5864751430138868
16,[183. 185. 193. 179. 179. 193. 179. 177. 189. 177.   0. 185.],"(6.419527458088407, 7.260474282001055)","4,10",3.655012213388812
17,[183. 185. 193. 180. 180. 193. 178. 177. 188. 177.   0. 186.],"(6.40820477421097, 7.212177485993212)","4,10",3.683938735122455
18,[183. 184. 193.   0. 181. 193. 178. 177. 188. 177.   0. 185.],"(4.624415202421374, 7.000655032753767)","4,10",3.0636521632783693
19,[178. 184. 192. 179.   0. 190. 177. 177. 179.   0. 177. 188.],"(3.4060856413540694, 9.129461294003143)","4,10",1.0538367539825557
20,[179. 184. 193.   0. 187. 189. 177.   0. 180.   0. 177. 188.],"(3.648824354914537, 8.05938634664069)","4,10",1.9721322687146927
21,[179. 183. 193.   0. 185. 189. 177. 177. 179.   0. 177. 188.],"(4.695890146842672, 8.000237530300735)","4,10",2.117383534386347
22,[177. 179. 191.   0.   0. 188.   0. 177. 179.   0. 177. 187.],"(7.615774415378947, 12.97710896472466)","4,10",4.683695379799257
23,[177. 180. 191. 177. 185. 188. 177. 177. 182.   0. 177.   0.],"(5.439903603076145, 9.196481933240454)","4,10",1.6489280365621362
24,[177. 179. 191. 177. 185. 188. 177.   0. 182.   0. 177. 188.],"(5.939817242475412, 9.907284286469485)","4,10",1.9420317035878645
25,[  0. 184. 193. 177. 181. 193. 177.   0. 183. 177. 178. 187.],"(11.238885821665964, 10.12460291712853)","4,10",7.239958137038739
26,[184. 185. 193. 179.   0. 193. 179. 177. 188. 177. 177. 187.],"(6.357647941046117, 10.936337465566513)","4,10",2.5367758401842515
27,[184. 185. 193. 180. 180. 193. 179. 177. 188. 177.   0. 186.],"(6.373818018702308, 7.174983613960283)","4,10",3.689949805526988
28,[183. 184. 193. 180. 181. 193. 179. 177. 188.   0. 177. 186.],"(4.764634023704204, 10.764634023704202)","4,10",1.0813558065743947
29,[179. 183. 193.   0. 185. 190. 177. 177. 179.   0. 177. 188.],"(4.7755671352214275, 8.078374859171912)","4,10",2.0722325070073917
30,[177. 184. 193.   0.   0. 189. 177. 177. 179.   0. 177. 188.],"(5.579989917955163, 9.52447255825151)","4,10",1.6499983299069807
31,[178. 179. 193.   0. 185. 189. 177. 177. 179.   0. 177. 188.],"(5.551484359194835, 8.22123644980992)","4,10",2.3603185133178584
32,[177. 179. 192. 177. 185. 187. 177. 177. 181. 177. 177. 187.],"(3.9667912054616403, 9.799735638357303)","4,10",0.20299910979816604
33,[177.   0. 191. 177. 185. 188. 177. 177. 181. 177. 177. 188.],"(7.721936118316882, 7.377442262977868)","4,10",4.5530887925502155
34,[177. 179. 192. 177.   0. 188. 178. 177. 182. 177. 177. 187.],"(4.746184672222634, 9.685566494501364)","4,10",0.8097283460767327
35,[184. 185. 193. 180. 181. 193. 179. 177. 188. 177. 177. 186.],"(6.306447341712251, 12.306447341712252)","4,10",3.261809111548838
36,[184. 185. 193. 180. 180. 193. 179. 177. 189. 177. 177. 186.],"(6.308936281190138, 12.308936281190142)","4,10",3.2653290035143945
37,[183. 184. 193. 180.   0. 193. 179. 177. 188. 177.   0. 186.],"(8.877153058460632, 12.314514737914521)","4,10",5.398481307523017
38,[  0. 184. 193.   0. 185. 190. 177.   0. 179.   0. 177. 188.],"(17.49959138404228, 12.598468983731753)","4,10",13.747400066758967
39,[178. 184. 193.   0.   0. 190. 177. 177. 179.   0. 177. 188.],"(5.571678317484234, 9.603741492247055)","4,10",1.6208619739560377
40,[178. 183. 193.   0. 185. 190.   0. 177. 180.   0. 177. 188.],"(7.356821656363964, 12.953941226465714)","4,10",4.471467365647196
41,[177. 179. 191. 177.   0. 189. 177. 177.   0. 177. 178. 188.],"(5.201348945631191, 8.6119987532384)","4,10",1.835697891860459
42,[  0. 180.   0.   0. 184. 188. 177. 177. 181.   0. 177. 187.],"(13.66219242020725, 11.511164216539038)","4,10",9.779651305361478
